step_no,procedure_type,equipment,phase,action,responsible_role,duration_minutes,safety_check,prerequisites,acceptance_criteria
1,Shutdown,AFBC Boiler 30TPH,Pre-Shutdown,Notify all departments and control room of planned shutdown,Shift Supervisor,15,Confirm communication received by all parties,Management approval for shutdown obtained,All departments acknowledged
2,Shutdown,AFBC Boiler 30TPH,Load Reduction,Gradually reduce fuel feed rate to 50% MCR over 30 minutes,Boiler Operator,30,Monitor bed temperature — must not drop below 750°C during reduction,Boiler at stable operating conditions,Load at 50% MCR; all parameters stable
3,Shutdown,AFBC Boiler 30TPH,Load Reduction,Reduce steam load to 25% MCR; switch auxiliary steam to backup,Boiler Operator,20,Verify auxiliary steam header pressure maintained,Backup steam source available,Load at 25% MCR; auxiliary steam switched
4,Shutdown,AFBC Boiler 30TPH,Fuel Trip,Stop coal feeding system; allow bed to burn down,Boiler Operator,15,Monitor bed temperature decline — should be gradual,Ash conveyor running to remove bed material,Coal feed stopped; bed temperature declining
5,Shutdown,AFBC Boiler 30TPH,Fan Sequence,Stop PA fan after bed temperature drops below 500°C,Boiler Operator,5,Check for no abnormal sounds from bed area,Bed material substantially consumed,PA fan stopped; bed <500°C
6,Shutdown,AFBC Boiler 30TPH,Fan Sequence,Stop FD fan; maintain ID fan for 30 min for purge,Boiler Operator,30,Verify 5 complete air changes through furnace,PA fan already stopped,Furnace fully purged
7,Shutdown,AFBC Boiler 30TPH,Cooldown,Stop ID fan; close all dampers; begin natural cooldown,Boiler Operator,5,Verify all fans stopped and dampers closed,Furnace purge complete,All fans off; dampers shut
8,Shutdown,AFBC Boiler 30TPH,Cooldown,Maintain drum level at normal; allow natural cooling for 12-24 hours,Boiler Operator,1440,Monitor drum pressure decline — vent at <2 bar if needed,Boiler isolated from steam header,Pressure at atmospheric; drum temp <80°C
9,Shutdown,AFBC Boiler 30TPH,Isolation,Apply LOTO on all energy sources — steam; fuel; electrical; air,Maintenance Lead,60,Verify zero energy on all sources; hang LOTO tags,Boiler fully cooled; pressure at zero,LOTO tags applied; all energy sources verified zero
10,Shutdown,AFBC Boiler 30TPH,Drain,Drain boiler water after cooling below 80°C; open manholes after pressure equalization,Maintenance Lead,120,Confirm atmospheric pressure before opening manholes; confined space permit,LOTO complete; boiler cooled,Boiler drained; manholes open; safe for entry
11,Startup,AFBC Boiler 30TPH,Pre-Start Checks,Complete pre-startup checklist — mechanical; electrical; instrumentation; safety systems,Shift Supervisor,240,Verify all maintenance work completed and signed off,All maintenance and inspections complete,Pre-startup checklist 100% signed
12,Startup,AFBC Boiler 30TPH,Fill,Fill boiler with treated DM water to normal operating level,Boiler Operator,90,Verify water quality — pH; TDS; dissolved O2,DM plant operational; water quality tested,Drum at normal level; water quality acceptable
13,Startup,AFBC Boiler 30TPH,Light-Up,Start ID fan; start FD fan; ignite oil burner for bed heating,Boiler Operator,30,Verify furnace purge complete (5 air changes) before ignition,All fans operational; fuel oil available,Oil burner lit; bed heating commenced
14,Startup,AFBC Boiler 30TPH,Bed Heating,Heat bed gradually at max 50°C/hour until bed reaches 750°C,Boiler Operator,360,Monitor refractory expansion; no sudden temperature changes,Oil burner running steadily,Bed temperature at 750°C; ready for coal
15,Startup,AFBC Boiler 30TPH,Coal Introduction,Start coal feeding at minimum rate; gradually increase to 50% MCR,Boiler Operator,60,Monitor bed temperature stability; check for clinker formation,Bed at 750°C minimum,Coal combustion stable at 50% MCR
16,Startup,AFBC Boiler 30TPH,Load Ramp,Increase load to 75% then 100% MCR in 25% increments every 30 minutes,Boiler Operator,90,Monitor all parameters — pressure; temperature; water level; emissions,Coal combustion stable,Boiler at MCR; all parameters within limits
17,Startup,AFBC Boiler 30TPH,Synchronization,Synchronize with steam header; transfer loads; stop oil burner,Shift Supervisor,15,Verify steam quality meets header requirements,Boiler at stable MCR,Boiler on header; oil burner stopped
18,Startup,AFBC Boiler 30TPH,Post-Start,Complete post-startup monitoring for 4 hours; record all parameters hourly,Boiler Operator,240,All parameters trending stable,Boiler synchronized to header,4-hour stable operation confirmed; handover to normal shift
