Incident_ID,Timestamp,Asset_ID,Asset_Name,Site,Severity,Deviation,Failure_Mode,AI_Root_Cause,Recommended_Action,Status,Resolution_Date,Downtime_Hours
INC-001,2026-04-25 04:15,AST-002,20 TPH FBC Boiler,Pune Chemical Complex,critical,FD fan bearing 78C bed temp 940C,BLR-FN-001,Bearing lubrication degradation + excess coal feed,Reduce load check bearing lube and cooling,open,,
INC-002,2026-04-25 05:00,AST-002,20 TPH FBC Boiler,Pune Chemical Complex,high,Stack temp 192C efficiency 74.1%,BLR-EF-001,Soot on economizer + air ingress,Soot blowing + inspect doors + recalibrate O2,open,,
INC-003,2026-04-24 22:30,AST-008,60 TPH CFBC Boiler,Hyderabad Food Processing,critical,Tube metal 510C spray 8.5 TPH,BLR-TF-001,Superheater overheating from damaged baffle,Plan shutdown + UT survey + order tubes,acknowledged,,
INC-004,2026-04-24 18:00,AST-010,RO+UF WTP 100 m3/hr,Hyderabad Food Processing,high,System offline membrane pressure 0,WTP-MF-001,Bio fouling from anti-scalant pump failure,Emergency CIP + replace pump + inspect filters,open,,12
INC-005,2026-04-25 02:00,AST-005,30 TPH Biomass Boiler,Gujarat Refinery Plant,medium,Stack temp trending 175C efficiency declining,BLR-EF-001,Soot buildup + high moisture biomass fuel,Soot blowing + review fuel moisture spec,open,,
INC-006,2026-04-20 14:30,AST-001,45 TPH AFBC Boiler,Pune Chemical Complex,high,Bed temp spike to 935C,BLR-BD-001,High alkali fuel batch + delayed bed drain,Emergency bed drain + fuel analysis,resolved,2026-04-21 06:00,15.5
INC-007,2026-04-18 09:00,AST-003,TF Heater 3M kcal,Pune Chemical Complex,medium,Coil pressure drop increasing 15%,HTR-CK-001,Thermic fluid degradation after 3 years,TF analysis + schedule flush,resolved,2026-04-22 12:00,0
INC-008,2026-04-15 11:00,AST-007,Solar Thermal Array,Gujarat Refinery Plant,medium,Mirror reflectivity dropped to 88%,SOL-MR-001,Dust accumulation + minor coating damage,Cleaning cycle + coating inspection,resolved,2026-04-16 16:00,0
INC-009,2026-04-12 08:00,AST-009,Hot Water Gen 5M kcal,Hyderabad Food Processing,low,Burner flame slightly unstable,HTR-BN-001,Fuel pressure variation from supply,Check fuel pressure regulator,resolved,2026-04-12 14:00,0
INC-010,2026-04-10 20:00,AST-004,DM WTP 50 m3/hr,Pune Chemical Complex,high,RO permeate TDS rising to 4.5 ppm,WTP-MF-001,Scaling from high silica season,CIP + anti-scalant dose increase,resolved,2026-04-11 08:00,4
