opportunity_id,brief_id,customer_id,description,stage,value_inr_cr,probability_pct,expected_close_date,sales_owner,bant_score,meddic_score,competitors,created_date,agent_confidence,human_go_nogo,go_nogo_by
OPP-2026-0001,BRF-2026-0018,CUST-0049,Brownfield expansion for Triveni Engineering,Negotiation,5,37,2026-05-24,Deepak Khanna,91,56,Alstom; IJT; Cheema Boilers; Forbes Marshall,2026-01-31,0.79,GO,Deepak Trivedi
OPP-2026-0002,BRF-2026-0023,CUST-0030,Decarbonisation project for Ashok Leyland,Proposal,350,45,2026-08-19,Rohit Agarwal,66,69,Thermax; IJT,2026-01-21,0.733,GO,Ashok Yadav
OPP-2026-0003,BRF-2026-0039,CUST-0009,Greenfield project for Bharat Petroleum,Won,350,65,2026-05-04,Shashi Nair,79,77,Thermax; Alstom; GE Power; Mitsubishi,2026-03-27,0.772,GO,Harish Vaidya
OPP-2026-0004,BRF-2026-0004,CUST-0023,Emission compliance for SAIL,Lost,2,57,2026-05-15,Mukesh Banerjee,86,58,Alstom; GE Power; Mitsubishi,2026-04-09,0.83,GO,Ajay Mehta
OPP-2026-0005,BRF-2026-0019,CUST-0003,Greenfield project for Shree Cement,Won,25,61,2026-05-15,Lakshmi Mukherjee,69,84,Mitsubishi; Cheema Boilers,2026-01-10,0.825,NO-GO,Sarika Pillai
OPP-2026-0006,BRF-2026-0053,CUST-0049,Greenfield project for Triveni Engineering,Won,2,31,2026-07-17,Vivek Kumar,83,84,Cheema Boilers; IJT; Doosan,2026-01-05,0.72,GO,Shobha Reddy
OPP-2026-0007,BRF-2026-0050,CUST-0052,Decarbonisation project for Adani Power,Lost,15,65,2026-06-01,Arun Vaidya,68,87,Forbes Marshall; GE Power,2026-01-06,0.714,NO-GO,Rakesh Pillai
OPP-2026-0008,BRF-2026-0018,CUST-0039,Brownfield expansion for JK Paper,Lost,200,42,2026-05-10,Usha Gupta,65,70,Doosan; Siemens Energy,2026-03-15,0.899,NO-GO,Meera Rao
OPP-2026-0009,BRF-2026-0016,CUST-0010,Emission compliance for Hindustan Petroleum,Proposal,45,61,2026-07-12,Nikhil Yadav,70,75,Alstom; Mitsubishi; IJT,2026-01-08,0.902,GO,Anjali Tiwari
OPP-2026-0010,BRF-2026-0033,CUST-0048,Emission compliance for Balrampur Chini Mills,Negotiation,25,62,2026-09-18,Shobha Shah,78,79,Alstom; IJT; Doosan; Siemens Energy,2026-01-08,0.823,GO,Neha Bhatia
OPP-2026-0011,BRF-2026-0053,CUST-0014,Brownfield expansion for Sun Pharmaceutical,Negotiation,120,60,2026-08-16,Bharat Banerjee,72,70,Siemens Energy; GE Power; Alstom,2026-01-29,0.88,GO,Shweta Verma
OPP-2026-0012,BRF-2026-0008,CUST-0011,Greenfield project for Reliance Industries,In Progress,120,83,2026-08-16,Gopal Agarwal,84,50,Cheema Boilers; Mitsubishi,2026-01-26,0.783,NO-GO,Anjali Pandey
OPP-2026-0013,BRF-2026-0043,CUST-0042,Decarbonisation project for Britannia Industries,In Progress,8,73,2026-07-21,Divya Shah,58,75,Mitsubishi; Siemens Energy; GE Power; Forbes Marshall,2026-04-10,0.731,NO-GO,Sanjay Chatterjee
OPP-2026-0014,BRF-2026-0044,CUST-0029,Emission compliance for Maruti Suzuki India,In Progress,2,33,2026-05-19,Vikram Mehta,55,71,Mitsubishi; GE Power; Siemens Energy,2026-03-10,0.785,GO,Vivek Rao
OPP-2026-0015,BRF-2026-0025,CUST-0050,ZLD retrofit for NTPC Limited,In Progress,8,35,2026-05-29,Rakesh Desai,64,54,Thermax; Doosan; Cheema Boilers; IJT,2026-02-22,0.898,GO,Anjali Gupta
OPP-2026-0016,BRF-2026-0009,CUST-0049,Brownfield expansion for Triveni Engineering,Won,5,45,2026-08-14,Rohit Chopra,92,74,Mitsubishi; Forbes Marshall; Cheema Boilers; Doosan,2026-02-02,0.866,GO,Sneha Verma
OPP-2026-0017,BRF-2026-0055,CUST-0043,Decarbonisation project for Hindustan Unilever,Won,25,43,2026-09-05,Ajay Kapoor,68,83,Doosan; Mitsubishi; Alstom,2026-02-15,0.847,GO,Vikram Chatterjee
OPP-2026-0018,BRF-2026-0057,CUST-0001,ZLD retrofit for UltraTech Cement,Won,45,48,2026-05-02,Archana Nair,75,58,Mitsubishi; Siemens Energy; Cheema Boilers,2026-04-11,0.703,NO-GO,Neha Kumar
