breakdown_id,date,plant,equipment,equipment_id,failure_mode,root_cause,severity,downtime_hours,production_loss_tonnes,corrective_action,preventive_action,cost_lakhs,technician,status
BD-001,2026-01-05,Dalmia Cement Ariyalur,AFBC Boiler,BLR-001,Tube leak — economizer section,Fly ash erosion on tube bend due to high gas velocity,High,18,540,Emergency tube plugging; replaced 2 eroded tubes during next planned shutdown,Install erosion shields on economizer tube bends; adjust gas velocity by modifying baffle,4.2,R. Kumar,Closed
BD-002,2026-01-12,Bajaj Hindusthan Meerut,Cogen Boiler,BLR-002,FD fan bearing failure,Lubrication starvation — grease pump malfunction went undetected,Medium,8,200,Replaced bearing set; repaired grease pump; added vibration monitoring alarm,Install continuous vibration monitoring with auto-alarm at 4.5 mm/s; weekly grease pump function check,1.8,S. Nair,Closed
BD-003,2026-01-20,Tata Chemicals Mithapur,ESP,ESP-001,High voltage flashover — Field 2,Moisture ingress through cracked insulator bushing,Medium,6,180,Replaced cracked insulator bushing; cleaned and dried all bushings,Quarterly insulator inspection added to PM schedule; install moisture sensors in TR room,0.9,A. Mehta,Closed
BD-004,2026-02-03,ONGC Hazira,Process Heater #1,HTR-001,Low heater efficiency — 3% below design,Fouling on process-side tubes — coking deposits reducing heat transfer,Low,0 (derated),0,Scheduled mechanical cleaning during next turnaround,Add online chemical cleaning system; install tube skin temperature monitoring,2.5,K. Desai,Planned
BD-005,2026-02-15,Dalmia Cement Ariyalur,Steam Turbine,TRB-001,High vibration trip — Bearing #2,Coupling misalignment after foundation settlement,High,24,720,Laser alignment of coupling; shimmed foundation bolts; replaced damaged coupling element,Annual laser alignment check; foundation settlement monitoring every 6 months,3.5,D. Patil,Closed
BD-006,2026-02-22,SRF Bhiwadi,Thermic Fluid Heater,THF-001,TF circulation pump seal failure,Seal face damage due to thermal shock — pump started with cold TF in hot system,Medium,10,0,Replaced mechanical seal; installed slow-start interlock for pump when TF temp >100°C,Add TF temperature interlock to prevent pump start when delta-T >50°C between pump and system,1.2,V. Yadav,Closed
BD-007,2026-03-01,Bajaj Hindusthan Meerut,Bagasse Conveyor,CONV-001,Conveyor chain breakage,Fatigue failure of chain link — exceeded recommended replacement interval by 4 months,Medium,12,300,Replaced chain and sprockets; realigned conveyor drive,Strict adherence to OEM replacement intervals; add chain elongation measurement to monthly PM,2.8,S. Nair,Closed
BD-008,2026-03-08,Tata Chemicals Mithapur,Boiler Feed Pump,BFP-001,Pump impeller cavitation damage,NPSH insufficient due to deaerator level control malfunction,High,14,420,Replaced impeller and wear rings; repaired deaerator level control valve,Install NPSH monitoring with alarm; add redundant level transmitter on deaerator,3.2,R. Kumar,Closed
BD-009,2026-03-12,Dalmia Cement Ariyalur,Ash Conveyor,ASH-001,Conveyor belt tear,Foreign object (metal piece) fell from hopper onto belt,Low,4,120,Spliced belt; installed magnetic separator above conveyor feed point,Add magnetic separator and metal detector before all ash conveyor feed points,0.6,V. Kumar,Closed
BD-010,2026-03-18,ONGC Hazira,Instrument Air Compressor,COMP-001,Compressor motor overload trip,Air filter clogged — differential pressure exceeded limit; motor drew excess current,Low,2,0,Cleaned air filter; reset motor overload relay,Change filter replacement frequency from quarterly to monthly during dusty season,0.2,K. Desai,Closed
