bom_id,proposal_id,product_id,product_name,quantity,unit_price_inr_lakh,total_price_inr_lakh,lead_time_weeks,supply_type,margin_pct
BOM-00001,PRP-2026-0001,TP-SB-005,Waste Heat Recovery Boiler,3,716.07,2148.22,20,OEM,24.1
BOM-00002,PRP-2026-0001,TP-SR-002,Annual Maintenance Contract Premium,3,169.17,507.52,28,In-house,31.9
BOM-00003,PRP-2026-0001,TP-RN-003,Green Hydrogen Electrolyser,4,2633.14,10532.58,12,OEM,16.3
BOM-00004,PRP-2026-0001,TP-RN-001,Biomass Gasifier,2,439.06,878.12,24,OEM,16.1
BOM-00005,PRP-2026-0001,TP-AP-001,Electrostatic Precipitator,4,481.12,1924.49,31,OEM,31.0
BOM-00006,PRP-2026-0001,TP-PW-004,Extraction Condensing Turbine,1,8037.74,8037.74,21,In-house,16.2
BOM-00007,PRP-2026-0002,TP-CT-001,Counterflow Cooling Tower,1,115.79,115.79,11,Third-party,19.5
BOM-00008,PRP-2026-0002,TP-PW-004,Extraction Condensing Turbine,3,7317.92,21953.75,8,OEM,16.6
BOM-00009,PRP-2026-0002,TP-SR-003,Performance Enhancement Retrofit,1,277.11,277.11,17,Third-party,17.9
BOM-00010,PRP-2026-0002,TP-RN-003,Green Hydrogen Electrolyser,1,2128.08,2128.08,19,In-house,29.7
BOM-00011,PRP-2026-0002,TP-SR-003,Performance Enhancement Retrofit,4,250.37,1001.48,26,In-house,30.2
BOM-00012,PRP-2026-0002,TP-SR-001,Annual Maintenance Contract Basic,4,93.53,374.11,27,OEM,27.7
BOM-00013,PRP-2026-0002,TP-CP-001,Process Chemicals Package,4,37.75,150.99,29,In-house,16.7
BOM-00014,PRP-2026-0003,TP-PW-001,Captive Power Plant 25 MW,1,12534.35,12534.35,29,OEM,21.4
BOM-00015,PRP-2026-0003,TP-AP-002,Bag Filter System,4,185.58,742.33,9,In-house,27.2
BOM-00016,PRP-2026-0003,TP-CH-001,ProChill Absorption Chiller,2,302.72,605.43,26,Third-party,24.1
BOM-00017,PRP-2026-0003,TP-CH-003,Triple Effect Absorption Chiller,1,435.71,435.71,27,OEM,24.4
BOM-00018,PRP-2026-0003,TP-SB-004,EPC Boiler 100 TPH,2,3010.47,6020.94,24,In-house,16.2
BOM-00019,PRP-2026-0003,TP-CP-003,RO Membrane Antiscalants,2,25.05,50.1,16,OEM,18.4
BOM-00020,PRP-2026-0003,TP-SR-005,Spare Parts Contract,1,49.14,49.14,27,Third-party,21.2
BOM-00021,PRP-2026-0003,TP-SB-003,Thermopac Thermic Fluid Heater,4,149.66,598.64,8,Third-party,21.9
BOM-00022,PRP-2026-0004,TP-SB-002,Combloc Solid Fuel Boiler,3,236.33,708.98,10,In-house,31.6
BOM-00023,PRP-2026-0004,TP-CP-003,RO Membrane Antiscalants,2,20.58,41.17,13,Third-party,27.8
BOM-00024,PRP-2026-0004,TP-WT-002,Reverse Osmosis Plant,3,141.96,425.87,29,OEM,15.1
BOM-00025,PRP-2026-0004,TP-PW-001,Captive Power Plant 25 MW,2,9868.74,19737.48,9,Third-party,21.0
BOM-00026,PRP-2026-0004,TP-PW-001,Captive Power Plant 25 MW,2,11199.24,22398.48,18,Third-party,20.8
BOM-00027,PRP-2026-0004,TP-CH-003,Triple Effect Absorption Chiller,1,437.17,437.17,32,OEM,24.5
BOM-00028,PRP-2026-0005,TP-CP-001,Process Chemicals Package,4,39.72,158.87,16,In-house,19.7
BOM-00029,PRP-2026-0005,TP-SR-003,Performance Enhancement Retrofit,1,243.84,243.84,21,OEM,30.4
BOM-00030,PRP-2026-0005,TP-SB-002,Combloc Solid Fuel Boiler,3,248.97,746.92,26,In-house,18.4
BOM-00031,PRP-2026-0005,TP-WT-001,Demineralisation Plant,3,147.97,443.91,22,In-house,29.2
BOM-00032,PRP-2026-0005,TP-CP-001,Process Chemicals Package,2,37.97,75.94,12,Third-party,23.7
BOM-00033,PRP-2026-0005,TP-WT-003,Zero Liquid Discharge System,2,1466.33,2932.66,21,OEM,22.1
BOM-00034,PRP-2026-0006,TP-RN-001,Biomass Gasifier,3,402.68,1208.03,13,In-house,15.1
BOM-00035,PRP-2026-0006,TP-RN-002,Solar Thermal System,3,699.97,2099.9,29,In-house,32.0
BOM-00036,PRP-2026-0006,TP-AP-001,Electrostatic Precipitator,3,418.87,1256.6,31,OEM,24.1
BOM-00037,PRP-2026-0007,TP-CH-001,ProChill Absorption Chiller,4,301.97,1207.86,12,OEM,32.0
BOM-00038,PRP-2026-0007,TP-SR-004,Digital Monitoring Platform,2,129.14,258.28,18,Third-party,25.4
BOM-00039,PRP-2026-0007,TP-SR-005,Spare Parts Contract,3,41.57,124.71,18,Third-party,17.8
BOM-00040,PRP-2026-0007,TP-PW-002,Captive Power Plant 50 MW,1,27543.03,27543.03,12,In-house,25.0
BOM-00041,PRP-2026-0007,TP-SB-001,Shellmax Oil and Gas Boiler,1,194.59,194.59,21,OEM,30.1
BOM-00042,PRP-2026-0008,TP-RN-003,Green Hydrogen Electrolyser,4,2427.45,9709.82,28,In-house,23.7
BOM-00043,PRP-2026-0008,TP-SR-005,Spare Parts Contract,1,43.02,43.02,20,OEM,20.4
BOM-00044,PRP-2026-0008,TP-WT-004,MBR Sewage Treatment Plant,1,195.23,195.23,19,OEM,22.0
BOM-00045,PRP-2026-0008,TP-AP-002,Bag Filter System,1,210.12,210.12,29,Third-party,17.4
BOM-00046,PRP-2026-0008,TP-CT-002,Crossflow Cooling Tower,2,87.43,174.85,23,Third-party,14.7
BOM-00047,PRP-2026-0008,TP-RN-003,Green Hydrogen Electrolyser,2,2045.14,4090.27,28,In-house,16.0
