Claim_ID,Customer,Product,Equipment_ID,Issue_Description,Claim_Date,Warranty_Expiry,Within_Warranty,Resolution,Repair_Cost_INR,Parts_Replaced,Resolution_Date,Days_To_Resolve,Coverage_Status
WC-2026-001,Tata Chemicals Mithapur,Thermic Fluid Heater 30 LK,TFH-TC-001,Coil tube leak at bend section,2026-01-15,2027-06-30,Yes,Tube section replaced on-site,0 (warranty),2 coil sections + welding consumables,2026-01-22,7,Fully Covered
WC-2026-002,Pidilite Industries Mahad,AFBC Boiler 25 TPH,BLR-PI-001,Economizer tube failure - erosion,2026-02-03,2026-08-15,Yes,Economizer tubes replaced (8 nos),0 (warranty),8 SA210 tubes + tube plate plugs,2026-02-12,9,Fully Covered
WC-2026-003,Bajaj Auto Chakan,VAM 350 TR,VAM-BA-001,Low cooling capacity - 15% shortfall,2026-02-20,2026-12-31,Yes,Solution concentration adjusted + tube cleaning,0 (warranty),LiBr solution 200 kg + inhibitor,2026-03-05,13,Fully Covered - Root cause: poor water quality
WC-2026-004,Mahanagar Gas Kharghar,Waste Heat Recovery Boiler,WHRB-MG-001,Tube bundle fouling causing pressure drop,2026-03-01,2025-09-30,No,Chemical cleaning + soot blower adjustment,185000,Chemicals + gaskets,2026-03-15,14,Out of Warranty - billed to customer
WC-2026-005,ITC Munger,Bag Filter System,BF-ITC-001,Bag failure - 15 bags in Compartment 2,2026-03-10,2027-03-31,Yes,Bags replaced + cage inspection,0 (warranty),15 PPS filter bags + 3 cages,2026-03-18,8,Fully Covered
WC-2026-006,Dalmia Cement Dalmiapuram,ESP 3-Field,ESP-DC-001,Rapping system malfunction - Field 2,2026-03-15,2026-01-31,No,Motor replaced + rapping shaft alignment,95000,1 geared motor + coupling,2026-03-25,10,Out of Warranty - goodwill discount 50%
WC-2026-007,Godrej Industries Valia,DM Plant 50 M3/Hr,DM-GI-001,RO membrane premature failure (8 months),2026-03-20,2027-01-15,Yes,Investigation ongoing - water quality dispute,0 (pending),6 RO membranes (if approved),Pending,Ongoing,Under Review - customer water quality may void warranty
WC-2026-008,UPL Ankleshwar,Cooling Tower 1200 TR,CT-UPL-001,FRP fan blade cracking,2026-04-01,2026-11-30,Yes,All fan blades replaced + balancing,0 (warranty),6 FRP blades + hub assembly,2026-04-08,7,Fully Covered
WC-2026-009,Hindalco Renukoot,VAM 500 TR,VAM-HI-001,COP below guaranteed value (1.38 vs 1.42),2026-04-05,2027-02-28,Yes,Performance improvement measures in progress,0 (warranty),Absorber spray nozzles + heat exchanger gaskets,Pending,Ongoing,Linked to commissioning shortfall - escalated
WC-2026-010,Sun Pharma Halol,MEE 6-Effect,MEE-SP-001,Heat exchanger tube leakage - Effect 3,2026-04-10,2026-07-31,Yes,Tube plugging done + monitoring,0 (warranty),SS316L tube plugs + gaskets,2026-04-15,5,Fully Covered - MOC review recommended
