Month,Unit,Equipment_ID,Fuel_Type,Fuel_Consumed_MT,Steam_Generated_TPH_Avg,Boiler_Efficiency_Pct,Specific_Coal_Consumption_kg_per_kg_steam,Power_Generated_MW,Auxiliary_Power_Consumption_kW,Flue_Gas_Temp_C,Stack_Opacity_mg_Nm3,CO2_Emissions_tCO2,Remarks
Jan-2026,Boiler-1,BLR-AFBC-001,Indian Coal (Grade D),1850,42.5,81.2,0.685,4.1,380,168,42,3145,Normal operation
Jan-2026,Boiler-2,BLR-AFBC-002,Indian Coal (Grade D),1720,39.8,80.5,0.701,3.8,365,172,45,2924,Minor tube leak - 3 days downtime
Jan-2026,TF Heater,TFH-001,FO/LSHS,125,N/A,86.5,N/A,N/A,45,195,28,394,Stable operation
Feb-2026,Boiler-1,BLR-AFBC-001,Indian Coal (Grade D),1680,41.2,82.1,0.672,4.2,375,165,40,2856,Improved coal quality
Feb-2026,Boiler-2,BLR-AFBC-002,Indian Coal (Grade D),1790,40.5,79.8,0.718,3.9,370,175,48,3043,Air preheater fouling detected
Feb-2026,TF Heater,TFH-001,FO/LSHS,118,N/A,87.2,N/A,N/A,42,190,25,372,Oil grade changed to LSHS
Mar-2026,Boiler-1,BLR-AFBC-001,Indian Coal (Grade D),1920,43.8,81.8,0.688,4.3,385,170,43,3264,Peak demand month
Mar-2026,Boiler-2,BLR-AFBC-002,Indian Coal (Grade D),1850,41.2,80.2,0.712,4.0,378,174,46,3145,Soot blower effectiveness reduced
Mar-2026,TF Heater,TFH-001,FO/LSHS,132,N/A,85.8,N/A,N/A,48,198,30,416,Higher process heat demand
Apr-2026,Boiler-1,BLR-AFBC-001,Indian Coal (Grade D),1560,38.5,82.5,0.668,3.5,360,163,38,2652,Reduced demand - summer
Apr-2026,Boiler-2,BLR-AFBC-002,Indian Coal (Grade D),0,0,N/A,N/A,0,0,N/A,N/A,0,Annual maintenance shutdown
Apr-2026,TF Heater,TFH-001,FO/LSHS,98,N/A,87.8,N/A,N/A,40,185,22,309,Lower heating requirement
