guarantee_id,proposal_id,parameter,unit,guaranteed_value,ai_simulated_value,tolerance_pct,test_method,signed_off_by,signoff_date,penalty_per_unit_shortfall_inr_lakh
PG-2026-00001,PRP-2026-0001,Water Recovery,%,89.11,91.43,3.2,ISO 15364,Deepak Yadav,2026-03-14,2.84
PG-2026-00002,PRP-2026-0001,Boiler Efficiency,%,90.34,92.99,4.8,IS 13623,Nikhil Bose,2026-01-25,4.86
PG-2026-00003,PRP-2026-0001,Steam Output,TPH,64.72,62.92,4.1,IS 13623,Mukesh Pillai,2026-03-26,3.2
PG-2026-00004,PRP-2026-0002,Steam Output,TPH,95.62,96.76,3.8,IPT Hydraulic,Mukesh Yadav,2026-03-02,2.08
PG-2026-00005,PRP-2026-0003,SOx Emission,mg/Nm3,191.76,195.74,3.9,IPT Hydraulic,Nikhil Malhotra,2026-01-17,3.29
PG-2026-00006,PRP-2026-0003,Steam Output,TPH,97.61,100.52,4.3,ASME PTC-4,Anjali Verma,2026-01-28,4.7
PG-2026-00007,PRP-2026-0003,Steam Output,TPH,97.61,97.59,4.1,Customer protocol,Ravi Bose,2026-02-11,3.12
PG-2026-00008,PRP-2026-0004,Water Recovery,%,97.36,96.85,4.4,IPT Hydraulic,Rajesh Pandey,2026-03-19,2.78
PG-2026-00009,PRP-2026-0005,Power Consumption,kW,2120.44,2157.4,4.4,Customer protocol,Sachin Srivastava,2026-03-07,2.01
PG-2026-00010,PRP-2026-0005,Cooling Capacity,TR,1850.28,1821.62,4.9,IS 13623,Sujata Tiwari,2026-04-10,4.11
PG-2026-00011,PRP-2026-0006,Power Consumption,kW,1067.47,1067.74,3.7,IPT Hydraulic,Rekha Khanna,2026-02-05,1.22
PG-2026-00012,PRP-2026-0006,PM Emission,mg/Nm3,29.54,29.02,1.8,IPT Hydraulic,Rajesh Saxena,2026-03-28,0.63
PG-2026-00013,PRP-2026-0006,Plant Availability,%,98.2,100.67,1.8,IPT Hydraulic,Amit Rao,2026-02-17,3.36
PG-2026-00014,PRP-2026-0007,Boiler Efficiency,%,86.49,85.32,4.8,ASME PTC-4,Nikhil Saxena,2026-04-03,1.0
PG-2026-00015,PRP-2026-0007,Steam Output,TPH,68.03,66.43,2.5,IS 13623,Anjali Patel,2026-02-12,4.3
PG-2026-00016,PRP-2026-0008,Water Recovery,%,89.88,91.54,2.1,ASME PTC-4,Usha Nair,2026-01-22,3.05
PG-2026-00017,PRP-2026-0009,Steam Output,TPH,18.78,18.44,1.6,ASME PTC-4,Kiran Mukherjee,2026-03-28,1.47
PG-2026-00018,PRP-2026-0009,PM Emission,mg/Nm3,38.0,37.12,2.3,ISO 15364,Meera Mehta,2026-04-06,3.77
PG-2026-00019,PRP-2026-0009,Power Consumption,kW,955.6,942.28,3.2,ASME PTC-4,Rakesh Naidu,2026-01-23,1.82
PG-2026-00020,PRP-2026-0010,Steam Output,TPH,48.12,48.36,4.2,ISO 15364,Arun Desai,2026-02-13,2.45
PG-2026-00021,PRP-2026-0010,Water Recovery,%,94.33,93.89,4.1,ISO 15364,Sujata Gupta,2026-01-29,2.22
PG-2026-00022,PRP-2026-0010,NOx Emission,mg/Nm3,236.8,237.75,2.8,ASME PTC-4,Harish Menon,2026-04-12,4.81
PG-2026-00023,PRP-2026-0011,Power Consumption,kW,2092.71,2074.85,1.8,ISO 15364,Sarika Iyer,2026-03-07,1.05
PG-2026-00024,PRP-2026-0011,PM Emission,mg/Nm3,30.57,30.91,4.0,IS 13623,Shweta Chowdhury,2026-03-06,4.54
PG-2026-00025,PRP-2026-0012,Cooling Capacity,TR,1919.41,1940.38,3.0,ISO 15364,Manish Pillai,2026-04-10,4.11
PG-2026-00026,PRP-2026-0012,Water Recovery,%,95.5,92.9,2.5,ASME PTC-4,Deepak Bose,2026-03-26,3.21
PG-2026-00027,PRP-2026-0012,Cooling Capacity,TR,1919.41,1889.05,1.6,ASME PTC-4,Preeti Chowdhury,2026-04-16,4.6
PG-2026-00028,PRP-2026-0013,Cooling Capacity,TR,524.41,531.43,2.5,ISO 15364,Ritu Shah,2026-02-04,3.99
PG-2026-00029,PRP-2026-0013,Water Recovery,%,91.11,91.72,2.9,IPT Hydraulic,Smita Reddy,2026-02-28,4.72
PG-2026-00030,PRP-2026-0014,PM Emission,mg/Nm3,40.63,41.4,3.4,ASME PTC-4,Vinod Singh,2026-03-14,4.47
PG-2026-00031,PRP-2026-0015,Water Recovery,%,87.21,85.23,2.6,IS 13623,Dinesh Saxena,2026-02-23,3.37
PG-2026-00032,PRP-2026-0016,SOx Emission,mg/Nm3,295.27,299.01,2.7,IS 13623,Tarun Desai,2026-01-18,0.85
PG-2026-00033,PRP-2026-0016,Water Recovery,%,87.94,85.62,1.5,IS 13623,Shweta Mishra,2026-03-23,2.69
PG-2026-00034,PRP-2026-0016,PM Emission,mg/Nm3,29.66,29.14,3.6,Customer protocol,Yogesh Bansal,2026-03-08,3.69
