log_id,project,date,shift,work_area,activity_description,planned_qty,actual_qty,unit,variance_pct,manpower_deployed,equipment_used,weather,safety_observations,supervisor
WL-001,WHRS Dalmia Cement,2026-03-18,Day,Boiler Foundation,RCC foundation pour — Boiler Column A1-A4,45,42,m3,-6.7%,28,"Transit mixer x2, vibrator x4",Clear,All PPE compliance OK; toolbox talk conducted,S. Nair
WL-002,WHRS Dalmia Cement,2026-03-18,Day,Structural Steel,Erection of main boiler columns — elevation 0 to +8m,4,4,columns,0%,15,"Mobile crane 50T, welding sets x6",Clear,Crane operator certifications verified; lifting plan approved,R. Patil
WL-003,WHRS Dalmia Cement,2026-03-18,Night,Piping,Steam header pipe fabrication — shop welding,12,10,joints,-16.7%,8,"Welding sets x4, pipe bender",N/A (shop),2 joints rejected by NDE — rework required tomorrow,M. Reddy
WL-004,WHRS Dalmia Cement,2026-03-19,Day,Boiler Foundation,RCC foundation pour — Boiler Column B1-B4 + curing A1-A4,40,38,m3,-5.0%,25,"Transit mixer x2, vibrator x4",Partly cloudy,Concrete slump test passed (85mm); cube samples taken,S. Nair
WL-005,WHRS Dalmia Cement,2026-03-19,Day,ESP Area,ESP foundation excavation,120,135,m3,+12.5%,12,"JCB x1, tipper x3",Partly cloudy,Soil bearing capacity test results awaited; temporary shoring in place,V. Kumar
WL-006,Cogen Bajaj Meerut,2026-03-18,Day,Boiler Erection,Drum lifting and placement on supporting steel,1,1,drum,0%,22,"Crawler crane 200T, rigging equipment",Clear,Critical lift — all safety protocols followed; Thermax and customer safety officers present,D. Patil
WL-007,Cogen Bajaj Meerut,2026-03-19,Day,Boiler Erection,Tube bundle — generating bank installation,8,6,tubes installed,-25%,18,"Overhead crane, welding sets x8",Rain (AM),Work delayed 2 hours due to morning rain; resumed at 11 AM,D. Patil
WL-008,Tata Chemicals Mithapur,2026-03-18,Day,ESP Erection,Collecting electrode plate installation — Field 2,24,24,plates,0%,16,"EOT crane, alignment tools",Clear,All plates within ±2mm alignment tolerance,S. Nair
WL-009,Tata Chemicals Mithapur,2026-03-19,Day,Boiler Insulation,Mineral wool insulation — drum and headers,35,30,m2,-14.3%,10,"Scaffolding, hand tools",Clear,Insulation contractor short by 2 workers; escalated to subcontractor,V. Yadav
WL-010,ONGC Hazira Heaters,2026-03-18,Day,Heater Assembly,Process heater tube bundle insertion — Heater #1,1,1,bundle,0%,14,"Hydraulic jacks, alignment tools",Clear,Bundle inserted successfully; tube-to-tubesheet welding to start tomorrow,K. Desai
