inspection_id,date,plant,equipment,equipment_id,inspection_type,parameter_checked,reading,unit,acceptable_range,condition_rating,inspector,next_inspection_due,findings,action_required
INS-001,2026-03-15,Dalmia Cement,AFBC Boiler Drum,BLR-001,Quarterly UT,Shell thickness — top,28.5,mm,>26.0 (min design),Good,M. Reddy,2026-06-15,Uniform thickness; no localized thinning detected,None — continue monitoring
INS-002,2026-03-15,Dalmia Cement,AFBC Boiler Drum,BLR-001,Quarterly UT,Shell thickness — bottom,27.8,mm,>26.0 (min design),Good,M. Reddy,2026-06-15,Slight thinning vs last reading (28.1mm) — within acceptable rate,Monitor trend; flag if rate exceeds 0.2mm/quarter
INS-003,2026-03-15,Dalmia Cement,AFBC Boiler Tubes,BLR-001,Quarterly UT,Economizer tube wall,3.2,mm,>2.8 (min design),Acceptable,M. Reddy,2026-06-15,Wall thickness adequate; erosion rate normal,Continue PM schedule; install erosion shields per BD-001 corrective action
INS-004,2026-03-15,Dalmia Cement,AFBC Boiler Tubes,BLR-001,Quarterly UT,Superheater tube wall,4.1,mm,>3.5 (min design),Good,M. Reddy,2026-06-15,No significant thinning; oxide scale within limits,None
INS-005,2026-03-10,Bajaj Hindusthan,Cogen Boiler Drum,BLR-002,Quarterly UT,Shell thickness,32.0,mm,>30.0 (min design),Good,S. Deshpande,2026-06-10,Uniform thickness; no corrosion pits detected,None
INS-006,2026-03-10,Bajaj Hindusthan,FD Fan,FAN-001,Monthly Vibration,Bearing vibration DE,3.8,mm/s RMS,<4.5 (alarm) / <7.0 (trip),Acceptable,D. Patil,2026-04-10,Slightly elevated after bearing replacement (BD-002); trending stable,Continue monthly monitoring; recheck after 500 hours operation
INS-007,2026-03-10,Bajaj Hindusthan,Safety Valve SV-1,SV-001,Quarterly Test,Set pressure,10.82,bar(g),10.5 ±3% (10.19-10.82),Acceptable,S. Deshpande,2026-06-10,Popping at upper limit of range,Adjust set pressure down to 10.5 bar at next opportunity; retest
INS-008,2026-03-12,Tata Chemicals,ESP Field 1,ESP-001,Monthly,Collecting efficiency,99.6,%,>99.5% (design),Good,A. Mehta,2026-04-12,Field 1 performance excellent; all plates aligned,None
INS-009,2026-03-12,Tata Chemicals,ESP Field 2,ESP-001,Monthly,Collecting efficiency,98.8,%,>99.5% (design),Poor,A. Mehta,2026-04-12,Efficiency below design; rapping motor #3 not cycling properly; 2 plates showing edge erosion,Replace rapping motor #3; inspect and replace eroded plates; priority: High
INS-010,2026-03-18,ONGC Hazira,Process Heater Tubes,HTR-001,Annual,Tube skin temperature,412,°C,<430 (max design),Acceptable,K. Desai,2027-03-18,Temperature within limits but 15°C higher than commissioning baseline — indicates fouling buildup,Schedule tube cleaning at next turnaround (ref BD-004)
INS-011,2026-03-18,ONGC Hazira,Process Heater Tubes,HTR-001,Annual,Tube wall thickness,8.8,mm,>7.5 (min design with corrosion allowance),Good,K. Desai,2027-03-18,Thickness well above minimum; corrosion rate 0.1mm/year — acceptable,None — continue annual monitoring
INS-012,2026-03-20,SRF Bhiwadi,Thermic Fluid Heater,THF-001,Bi-Annual,TF fluid quality — flash point,186,°C,>180 (minimum safe),Acceptable,V. Yadav,2026-09-20,Flash point adequate but 8°C lower than fresh TF (194°C) — indicates some degradation,Plan partial TF replacement (20%) at next scheduled maintenance
