quote_id,project_id,item_description,make_buy_ref,vendor_id,vendor_name,quoted_price_inr_lakh,delivery_weeks,payment_terms,validity_days,technical_compliance,commercial_score,l1_rank,t1_rank,recommendation,status
VQ-001,PRJ-2026-0001,FD Fan 2500 Nm3/min,MB-004,VND-001,TLT-Babcock India,24.5,10,30% Advance + 70% Delivery,60,Fully Compliant,8.5,2,1,T1 Recommended,Under Evaluation
VQ-002,PRJ-2026-0001,FD Fan 2500 Nm3/min,MB-004,VND-009,Paharpur Cooling Towers,21.8,12,50% Advance + 50% Delivery,45,Partially Compliant,7.0,1,3,L1 but technical gaps,Under Evaluation
VQ-003,PRJ-2026-0001,FD Fan 2500 Nm3/min,MB-004,VND-004,KSB India,23.2,11,30% Advance + 70% Delivery,60,Fully Compliant,8.2,3,2,Acceptable,Under Evaluation
VQ-004,PRJ-2026-0001,ID Fan 4500 Nm3/min,MB-005,VND-001,TLT-Babcock India,35.2,10,30% Advance + 70% Delivery,60,Fully Compliant,9.0,1,1,Recommended — L1+T1,Under Evaluation
VQ-005,PRJ-2026-0001,ID Fan 4500 Nm3/min,MB-005,VND-004,KSB India,36.8,12,40% Advance + 60% Delivery,45,Fully Compliant,8.0,2,2,Acceptable,Under Evaluation
VQ-006,PRJ-2026-0001,DCS System,MB-006,VND-002,Yokogawa India,92.0,12,20% Advance + 60% Dispatch + 20% Commissioning,90,Fully Compliant,9.5,2,1,T1 Recommended — best technical,Under Evaluation
VQ-007,PRJ-2026-0001,DCS System,MB-006,VND-006,ABB India,85.5,14,30% Advance + 70% Delivery,60,Fully Compliant,8.5,1,2,L1 — acceptable technically,Under Evaluation
VQ-008,PRJ-2026-0001,Valves Package,MB-007,VND-003,L&T Valves,48.0,8,10% Advance + 90% Delivery,45,Fully Compliant,8.8,1,1,Recommended — L1+T1,PO Placed
VQ-009,PRJ-2026-0001,Valves Package,MB-007,VND-014,Spirax Sarco India,52.5,7,30% Advance + 70% Delivery,30,Fully Compliant,8.5,2,2,Good alternate,Rejected
VQ-010,PRJ-2026-0001,Refractory Package,MB-008,VND-007,Harbison Walker India,19.5,6,100% Delivery,30,Fully Compliant,8.0,1,1,Recommended,PO Placed
VQ-011,PRJ-2026-0002,ID Fan 5000 Nm3/min,MB-005,VND-001,TLT-Babcock India,38.5,10,30% Advance + 70% Delivery,60,Fully Compliant,9.0,1,1,Recommended,PO Placed
VQ-012,PRJ-2026-0003,Duct Burner Assembly,MB-014,VND-013,John Zink India,30.0,12,40% Advance + 60% Delivery,45,Fully Compliant,8.5,1,1,Recommended — sole qualified vendor,Under Evaluation
VQ-013,PRJ-2026-0004,Cooling Tower 750 TR,MB-016,VND-009,Paharpur Cooling Towers,20.5,10,30% Advance + 70% Delivery,60,Fully Compliant,8.0,1,1,Recommended,PO Placed
VQ-014,PRJ-2026-0008,BFW Pump 150 TPH,MB-020,VND-004,KSB India,28.0,10,20% Advance + 80% Delivery,60,Fully Compliant,9.0,1,1,Recommended,Under Evaluation
VQ-015,PRJ-2026-0008,BFW Pump 150 TPH,MB-020,VND-010,Forbes Marshall,31.5,8,30% Advance + 70% Delivery,45,Fully Compliant,8.5,2,2,Good alternate — faster delivery,Under Evaluation
