obligation_id,contract_ref,obligation_description,responsible_party,counterparty,due_date,frequency,penalty_for_non_compliance,evidence_required,status,completion_date,remarks
OB-001,SA-2026-TMX-DC-001,Submit detailed engineering drawings for client approval,Thermax,Dalmia Cement,2026-04-30,One-time,Delay may impact milestone schedule; potential LD exposure,Transmitted drawing list with client acknowledgment,In Progress,,80% drawings submitted; balance 20% pending vendor data
OB-002,SA-2026-TMX-DC-001,Provide site access and civil foundation readiness,Dalmia Cement,Thermax,2026-05-15,One-time,Client delay — Thermax entitled to equivalent time extension,Site readiness certificate signed by both parties,Pending,,Foundation work 60% complete per client update
OB-003,SA-2026-TMX-DC-001,Submit monthly progress report with earned value analysis,Thermax,Dalmia Cement,Monthly (15th),Monthly,No direct penalty; but required for progress billing,Progress report with photographic evidence and EVA,Compliant,,Last report submitted 15-Mar-2026
OB-004,SA-2026-TMX-DC-001,Pay advance (15% of contract value) against bank guarantee,Dalmia Cement,Thermax,2026-02-15,One-time,Interest at SBI PLR + 2% for delay beyond 15 days,Bank guarantee receipt and advance payment credit confirmation,Completed,2026-02-10,INR 4.275 Cr received on time
OB-005,SA-2026-TMX-DC-001,Provide performance bank guarantee (10% of contract value),Thermax,Dalmia Cement,Within 15 days of LOI,One-time,LOI may be cancelled if PBG not submitted,PBG from scheduled bank; validity until warranty expiry + 6 months,Completed,2026-01-20,INR 2.85 Cr PBG from SBI submitted
OB-006,SA-2026-TMX-DC-001,Conduct factory acceptance test (FAT) for critical equipment,Thermax,Dalmia Cement,Before dispatch,Per equipment,No dispatch without FAT sign-off; schedule delay risk,FAT report signed by client representative,Partially Complete,,VFD FAT completed; BFP FAT pending (1 unit delivered early)
OB-007,SA-2026-TMX-DC-001,Maintain all-risk insurance for erection period,Thermax,Dalmia Cement,Before erection start,Continuous,Erection cannot commence without valid insurance certificate,Insurance policy copy with Dalmia named as co-insured,Pending,,Insurance renewal being processed for project-specific policy
OB-008,SA-2026-TMX-DC-001,Submit O&M manual and as-built drawings before commissioning,Thermax,Dalmia Cement,2026-10-15,One-time,Commissioning milestone payment (10%) withheld until submitted,Manual and drawing handover receipt,Pending,,Template O&M manual being customized; as-built will be post-erection
OB-009,CT-2026-002,Provide remote diagnostics software updates for 2 years,ABB India,Thermax,2027-01-20,Quarterly,Failure to update may void extended support,Software version log and update acknowledgment,In Progress,,First quarterly update received Mar-2026
OB-010,CT-2026-003,Conduct DCS Site Acceptance Test (SAT),Honeywell India,Thermax,2026-09-05,One-time,Warranty period starts only after SAT sign-off,SAT report signed by Thermax and Honeywell,Pending,,Engineering phase — SAT planned for Sep-2026
