deviation_id,project_id,requirement,expected_value,extracted_value,status,deviation_detail,recommended_action,source
DV-001,PRJ-2026-0001,Product water conductivity at 25C,Less than 50 uS,Less than 50 uS from PFD,Match,,None,PFD S-OUT-FINAL vs customer spec
DV-002,PRJ-2026-0001,LSF design pressure,3.0 barg min,3.5 barg on P and ID,OK,,Clarify if margin per note 4,PID V-201
DV-003,PRJ-2026-0001,All instruments on SLD in I O list,100 percent tagged,IT-201 needs DCS check,REVIEW,Tag visible on P and ID,Verify with instrument index,REVIEW flag DE-003
DV-004,PRJ-2026-0001,Interlock for LSF high level,Required per T and S,IL-10 on sketch,Gap,Sketch not signed as approved,Get signed interlock cause-effect matrix,REVIEW flag DE-010
DV-005,PRJ-2026-0001,Handwritten GA dimension,Same as 3D model,OD 1500mm approx,UNCLEAR,Confidence 0.7,Cross check workshop drawing DRG-FAB-LSF,DE-009
DV-006,PRJ-2026-0002,Buffer tank MOC,CS rubber lined,CS lined on P and ID,Match,,,PID TK-01
DV-007,PRJ-2026-0002,Boiler design pressure per IBR,Min 52 kg/cm2,52 kg/cm2 on datasheet,Match,,None,EDS-006 vs IBR requirement
DV-008,PRJ-2026-0002,Superheater outlet temperature,440C per spec,440C on GA drawing,Match,,None,GA-BLR-002 vs design basis
DV-009,PRJ-2026-0002,Steam drum MOC,SA516 Gr70 per IBR,SA516 Gr70 on datasheet,Match,,None,EDS-006 vs material spec
DV-010,PRJ-2026-0002,Economizer tube material,CS finned tubes,CS finned tubes on datasheet,Match,,None,EDS-007 vs design basis
DV-011,PRJ-2026-0002,Safety valve set pressure,52 kg/cm2 per IBR,52 kg/cm2 on PID,Match,,None,PID SV-201 vs IBR
DV-012,PRJ-2026-0002,Boiler efficiency guarantee,Min 86%,TBD on datasheet,Gap,Efficiency test not conducted,Schedule performance guarantee test,Performance guarantee doc
DV-013,PRJ-2026-0003,WHRB design pressure,32 kg/cm2 per spec,32 kg/cm2 on datasheet,Match,,None,EDS-008 vs order spec
DV-014,PRJ-2026-0003,GT exhaust inlet temperature,540C from GT OEM,540C on PFD,Match,,None,PFD-HRSG vs GT data
DV-015,PRJ-2026-0003,WHRB trip interlock on GT shutdown,Required per ESD logic,IL-30 on sketch,Gap,Sketch not legible,Obtain formal ESD cause-effect from GT OEM,REVIEW flag DE-024
DV-016,PRJ-2026-0003,Duct burner material,SS310 per spec,SS310 + Ceramic fiber,OK,Additional ceramic fiber noted,Confirm with thermal design,EDS-009 vs material spec
DV-017,PRJ-2026-0003,Exhaust gas flow measurement,Hastelloy C276 per service,Hastelloy C276 on IDS,Match,,None,IDS-009 vs material requirement
DV-018,PRJ-2026-0003,Stack NOx emission,100 mg/Nm3 CPCB,TBD,UNCLEAR,Not measured yet,Plan emission monitoring post commissioning,CPCB norm vs DP-019
DV-019,PRJ-2026-0004,Chiller capacity,500 TR per spec,500 TR on datasheet,Match,,None,EDS-010 vs order spec
DV-020,PRJ-2026-0004,CHW supply temperature,7C per design,7C on datasheet,Match,,None,EDS-010 vs process requirement
DV-021,PRJ-2026-0004,Cooling water inlet max,35C per design,32C on datasheet,REVIEW,Summer peak may exceed 35C,Verify cooling tower summer performance,DP-023 vs CT design
DV-022,PRJ-2026-0004,Chiller shell MOC,CS shell per spec,CS shell + CuNi tubes,Match,,CuNi tubes for corrosion resistance,EDS-010 vs material spec
DV-023,PRJ-2026-0004,COP performance,Min 1.4,TBD on test,Gap,PAT not conducted,Schedule performance acceptance test,DP-025 vs guarantee
DV-024,PRJ-2026-0005,TF heater outlet temperature,300C per design,300C on datasheet,Match,,None,THF-501 datasheet vs process
DV-025,PRJ-2026-0005,Thermic fluid medium,Therminol 66 per spec,Therminol 66 on PFD,Match,,None,PFD-HTG vs TF spec
DV-026,PRJ-2026-0005,Expansion tank relief valve setting,2.5 kg/cm2,2.5 kg/cm2 on PID,Match,,None,PID SV-501 vs design
DV-027,PRJ-2026-0005,TF circulation pump flow,120 m3/hr per design,120 m3/hr on PID,Match,,None,PID P-501 vs pump datasheet
