assessment_id,proposal_id,margin_pct,cash_flow_score,currency_exposure,payment_terms_risk,ld_exposure_pct,overall_risk_rating,agent_recommendation,cfo_name,decision_date,decision
CRA-2026-0001,PRP-2026-0001,27.0,0.8,Mixed,High,3.3,Low,Hold for review,Sneha Reddy,2026-04-03,Rejected
CRA-2026-0002,PRP-2026-0002,26.1,0.77,INR only,Low,11.9,Low,Proceed,Rakesh Shah,2026-03-21,Approved
CRA-2026-0003,PRP-2026-0003,16.6,0.78,EUR 20%,Medium,8.3,Medium,Approve with conditions,Archana Patel,2026-03-09,Approved
CRA-2026-0004,PRP-2026-0004,18.4,0.93,USD 60%,Medium,3.9,Medium,Approve with conditions,Tarun Kumar,2026-01-27,Approved
CRA-2026-0005,PRP-2026-0005,15.2,0.81,USD 30%,High,4.0,Medium,Hold for review,Suresh Banerjee,2026-03-26,Rejected
CRA-2026-0006,PRP-2026-0006,15.8,0.67,INR only,High,10.6,Medium,Proceed with hedging,Rajesh Bhatia,2026-04-10,Rejected
CRA-2026-0007,PRP-2026-0007,20.5,0.67,USD 30%,Low,6.2,Low,Re-price,Sujata Mishra,2026-01-28,Approved
CRA-2026-0008,PRP-2026-0008,21.8,0.77,USD 30%,Medium,10.4,Low,Re-price,Tarun Banerjee,2026-02-15,Rejected
CRA-2026-0009,PRP-2026-0009,21.2,0.79,EUR 20%,Low,4.2,Low,Re-price,Mukesh Bose,2026-03-08,Approved
CRA-2026-0010,PRP-2026-0010,22.3,0.64,Mixed,Medium,8.6,Low,Re-price,Shashi Tiwari,2026-04-02,Rejected
CRA-2026-0011,PRP-2026-0011,25.3,0.9,USD 60%,Medium,8.9,Low,Proceed,Sneha Chopra,2026-02-13,Approved
CRA-2026-0012,PRP-2026-0012,26.1,0.87,INR only,High,9.7,Low,Re-price,Archana Bansal,2026-02-25,Rejected
CRA-2026-0013,PRP-2026-0013,24.8,0.75,EUR 20%,Low,4.7,Low,Proceed with hedging,Pooja Kumar,2026-03-10,Rejected
