product_id,product_name,product_category,business_segment,description,typical_capacity,typical_price_inr_lakh,lead_time_weeks,primary_industry
TP-SB-001,Shellmax Oil and Gas Boiler,Boilers,Heating,1-35 TPH capacity shell boiler,8 TPH,185,16,Sugar
TP-SB-002,Combloc Solid Fuel Boiler,Boilers,Heating,Biomass and coal-fired composite boiler,12 TPH,245,27,Food
TP-SB-003,Thermopac Thermic Fluid Heater,Boilers,Heating,Thermic fluid heater up to 60 lakh kcal/hr,40 lakh kcal,135,14,Sugar
TP-SB-004,EPC Boiler 100 TPH,Boilers,Heating,Engineered high-capacity utility boiler,100 TPH,2800,32,Steel
TP-SB-005,Waste Heat Recovery Boiler,Boilers,Heating,Heat recovery from process exhaust gases,25 TPH,680,30,Chemicals
TP-CH-001,ProChill Absorption Chiller,Chillers,Cooling,Vapour absorption chiller for process cooling,500 TR,285,20,All
TP-CH-002,ProChill Lithium Bromide Chiller,Chillers,Cooling,Double-effect LiBr chiller,1500 TR,620,28,Paper
TP-CH-003,Triple Effect Absorption Chiller,Chillers,Cooling,High-COP triple-effect unit,800 TR,480,22,Sugar
TP-WT-001,Demineralisation Plant,Water,Water Solutions,DM plant for boiler feed water,50 m3/hr,145,22,Refinery
TP-WT-002,Reverse Osmosis Plant,Water,Water Solutions,Industrial RO plant,100 m3/hr,125,15,Steel
TP-WT-003,Zero Liquid Discharge System,Water,Water Solutions,Complete ZLD for industrial effluent,200 m3/day,1450,10,Paper
TP-WT-004,MBR Sewage Treatment Plant,Water,Water Solutions,Membrane bioreactor STP,500 KLD,220,8,Power
TP-WT-005,MEE Evaporator System,Water,Water Solutions,Multiple-effect evaporator,10 m3/hr,385,25,Steel
TP-AP-001,Electrostatic Precipitator,APC,Air Pollution Control,Dry ESP for flue gas cleaning,500000 Nm3/hr,485,26,Steel
TP-AP-002,Bag Filter System,APC,Air Pollution Control,Pulse-jet bag filter,200000 Nm3/hr,195,8,Refinery
TP-AP-003,Flue Gas Desulphurisation,APC,Air Pollution Control,Wet FGD for SOx removal,1000000 Nm3/hr,2200,30,All
TP-AP-004,Selective Catalytic Reduction,APC,Air Pollution Control,SCR system for NOx reduction,500000 Nm3/hr,780,9,Steel
TP-AP-005,Scrubber System,APC,Air Pollution Control,Wet scrubber for acid gases,150000 Nm3/hr,165,10,Cement
TP-CT-001,Counterflow Cooling Tower,Cooling Tower,Cooling,Induced draft counterflow CT,5000 m3/hr,115,18,Refinery
TP-CT-002,Crossflow Cooling Tower,Cooling Tower,Cooling,Induced draft crossflow CT,3000 m3/hr,95,24,Steel
TP-PW-001,Captive Power Plant 25 MW,Power,Power Solutions,Bagasse-fired cogen CPP,25 MW,11500,16,All
TP-PW-002,Captive Power Plant 50 MW,Power,Power Solutions,Coal-fired CPP,50 MW,24500,23,Steel
TP-PW-003,Back Pressure Steam Turbine,Power,Power Solutions,BPT for process integration,10 MW,2850,25,Pharma
TP-PW-004,Extraction Condensing Turbine,Power,Power Solutions,Extraction-cum-condensing ST,30 MW,7800,31,Power
TP-SR-001,Annual Maintenance Contract Basic,Service,Service,Preventive maintenance annual,Per plant,85,26,Textile
TP-SR-002,Annual Maintenance Contract Premium,Service,Service,PM plus predictive analytics,Per plant,165,15,Textile
TP-SR-003,Performance Enhancement Retrofit,Service,Service,Efficiency upgrade retrofit,Per boiler,245,21,Steel
TP-SR-004,Digital Monitoring Platform,Service,Service,Edelise remote monitoring,Per plant,125,11,Refinery
