checklist_id,product_type,product_variant,phase,check_item,category,acceptance_criteria,mandatory,typical_issue,corrective_action
CHK-001,AFBC Boiler,60 TPH — Coal Fired,Pre-Commissioning,Verify all safety interlocks — flame failure | high pressure | low water,Safety,All interlocks functional — tested with simulation,Yes,Interlock bypass left in place,Remove all bypasses — document and sign off
CHK-002,AFBC Boiler,60 TPH — Coal Fired,Pre-Commissioning,Check air system — FD/ID/PA fan rotation and vibration,Mechanical,Vibration < 4.5 mm/s — correct rotation direction,Yes,Reverse rotation due to phase error,Swap any two phases at motor terminal
CHK-003,AFBC Boiler,60 TPH — Coal Fired,Pre-Commissioning,Hydro test completion — verify no leaks at design pressure,Pressure Test,Hold 1.5x design pressure for 30 min — no drop,Yes,Leak at tube-to-drum joint,Re-expand or re-weld affected joints
CHK-004,AFBC Boiler,60 TPH — Coal Fired,Pre-Commissioning,Refractory curing — verify temperature profile during dryout,Thermal,Follow OEM dryout curve — max 50°C/hr rise rate,Yes,Cracking due to fast heating,Re-cure affected area — follow controlled heat-up
CHK-005,AFBC Boiler,60 TPH — Coal Fired,Cold Commissioning,Chemical cleaning of boiler — alkali boil out + acid clean,Chemical,pH and iron levels within limits post-clean,Yes,Incomplete cleaning — high iron residue,Repeat acid cleaning cycle
CHK-006,AFBC Boiler,60 TPH — Coal Fired,Cold Commissioning,DCS loop checking — all I/O signals verified,Instrumentation,100% loops checked — signal matches field device,Yes,Signal mismatch — wrong range or tag,Correct DCS configuration — recheck
CHK-007,AFBC Boiler,60 TPH — Coal Fired,Hot Commissioning,Bed material charging and initial heating,Operational,Bed temperature uniform — no hot spots > 50°C variance,Yes,Uneven bed temperature,Redistribute bed material — check air distribution
CHK-008,AFBC Boiler,60 TPH — Coal Fired,Hot Commissioning,Coal feeding initiation — verify feed rate and distribution,Operational,Feed rate matches design — all feeders operational,Yes,Feeder jamming or uneven feed,Clear blockage — calibrate feeder speed
CHK-009,AFBC Boiler,60 TPH — Coal Fired,PG Test,Boiler efficiency test — input-output method,Performance,Efficiency ≥ 86% on GCV basis per ASME PTC 4,Yes,Low efficiency — high unburnt in ash,Adjust bed depth and air distribution
CHK-010,AFBC Boiler,60 TPH — Coal Fired,PG Test,Emission compliance — NOx and SOx measurement,Environmental,NOx < 100 mg/Nm3 | SOx < 200 mg/Nm3 at 6% O2,Yes,High NOx — bed temp too high,Reduce bed temperature — increase staged air
CHK-011,Thermic Fluid Heater,5 MKCAL — Oil Fired,Pre-Commissioning,TF fluid charging and circulation test,Mechanical,No air locks — flow rate per design — no leaks,Yes,Air locks in high points,Vent at highest points during circulation
CHK-012,Thermic Fluid Heater,5 MKCAL — Oil Fired,Hot Commissioning,Fluid temperature ramp — verify 50°C/hr max rate,Thermal,Temperature rise controlled — no fluid degradation,Yes,Flash point concern at high temp,Check fluid quality — replace if degraded
CHK-013,WHRB,35 TPH — GT Exhaust,Pre-Commissioning,Gas path integrity — check dampers and expansion joints,Mechanical,No gas leaks — damper operation smooth,Yes,Damper binding due to thermal growth,Adjust damper linkage — verify clearances
CHK-014,WHRB,35 TPH — GT Exhaust,Hot Commissioning,GT synchronization — verify WHRB response to GT load changes,Operational,Steam parameters stable within ±5% during GT load swing,Yes,Drum level fluctuation on GT load change,Tune feedwater control — adjust 3-element control
CHK-015,FGD System,Wet Limestone — 300k Nm3/hr,Cold Commissioning,Slurry system commissioning — limestone prep and recirculation,Chemical,Slurry concentration 25% ± 2% — pump flow per design,Yes,Pump cavitation at low level,Adjust minimum level setpoint — check NPSH
