part_id,part_name,equipment_type,category,oem_part_number,stock_qty,reorder_level,unit_price_inr,lead_time_days,last_ordered,consumption_12m,criticality,warehouse_location
SP-001,Boiler Water Wall Tubes,AFBC Boiler,Pressure Parts,TBW-WW-2540,24,10,18500,45,2025-01-20,38,Critical,Pune Central
SP-002,Air Preheater Baskets,AFBC Boiler,Heat Transfer,TAP-BK-1820,8,4,42000,60,2024-12-15,12,High,Pune Central
SP-003,Economizer Finned Tubes,WHRB,Heat Transfer,TEC-FT-3260,16,6,22500,50,2025-02-01,20,Critical,Pune Central
SP-004,Superheater Tubes,AFBC Boiler,Pressure Parts,TSH-TB-4580,12,5,35000,55,2025-01-10,15,Critical,Savli Works
SP-005,ID Fan Bearings SKF 6328,All Boilers,Rotating Equipment,SKF-6328-C3,6,3,28000,21,2025-02-15,9,High,Pune Central
SP-006,Grate Bars — Moving,AFBC Boiler,Combustion,TGB-MV-0640,40,15,8500,30,2025-01-25,52,High,Savli Works
SP-007,Refractory Gunning Mix,All Boilers,Refractory,TRF-GM-5000,5000,2000,85,14,2025-03-01,8500,Medium,Pune Central
SP-008,FD Fan Impeller,All Boilers,Rotating Equipment,TFD-IMP-1200,2,1,125000,75,2024-11-20,3,Critical,Savli Works
SP-009,Thermic Fluid — Therminol 66,Thermic Fluid Heater,Consumable,TF-T66-200L,20,8,32000,10,2025-02-20,28,Medium,Pune Central
SP-010,Fuel Nozzle Assembly,Thermic Fluid Heater,Combustion,TFN-ASM-0480,8,4,15500,25,2025-01-30,11,High,Pune Central
SP-011,Circulation Pump Mech Seal,Thermic Fluid Heater,Sealing,TMS-CP-0380,6,3,22000,28,2025-02-10,8,High,Savli Works
SP-012,Limestone Dosing Pump,FGD System,Pumping,TLP-DS-0550,2,1,185000,45,2024-12-01,2,Medium,Pune Central
SP-013,FGD Recirculation Pump Impeller,FGD System,Pumping,TFG-IMP-0880,3,1,95000,60,2025-01-15,4,Critical,Pune Central
SP-014,Mist Eliminator Wash Nozzles,FGD System,Scrubbing,TME-WN-0120,24,12,3500,14,2025-02-25,36,Medium,Pune Central
SP-015,Vacuum Pump Seal Kit,Absorption Chiller,Sealing,TVP-SK-0240,4,2,18500,21,2025-01-05,5,High,Savli Works
SP-016,LiBr Solution — 55% conc,Absorption Chiller,Consumable,TLB-55-100L,10,4,45000,30,2024-11-30,8,Medium,Pune Central
SP-017,ESP Collecting Plates,AFBC Boiler,Emission Control,TEP-CP-2400,30,10,12000,40,2025-02-05,25,High,Savli Works
SP-018,Soot Blower Lance Tubes,All Boilers,Cleaning,TSB-LT-3600,6,3,28000,35,2025-01-18,8,Medium,Pune Central
SP-019,Safety Valve — Boiler Drum,All Boilers,Safety,TSV-BD-1050,2,1,85000,45,2024-10-20,2,Critical,Pune Central
SP-020,Flue Gas Analyzer Sensor Kit,All Equipment,Instrumentation,TFA-SK-0100,4,2,35000,21,2025-03-05,6,Medium,Pune Central
SP-021,PA Fan Bearings SKF 23228,All Boilers,Rotating Equipment,SKF-23228-CC,4,2,35000,21,2025-03-10,6,High,Pune Central
SP-022,Coal Feeder Screw Assembly,AFBC Boiler,Fuel Handling,TCF-SA-1800,4,2,65000,40,2025-02-28,5,High,Savli Works
SP-023,Bed Material — Silica Sand,AFBC Boiler,Consumable,TBM-SS-1000,8000,3000,12,7,2025-03-15,15000,Medium,Pune Central
SP-024,Air Nozzles — Distributor Plate,AFBC Boiler,Combustion,TAN-DP-0085,120,40,2800,21,2025-01-28,95,High,Savli Works
SP-025,Boiler Drum Level Transmitter,All Boilers,Instrumentation,TDL-TR-0320,3,1,48000,28,2025-02-12,3,Critical,Pune Central
SP-026,FD Fan Coupling Spider,All Boilers,Rotating Equipment,TFC-CS-0450,4,2,8500,14,2025-04-01,6,Medium,Pune Central
SP-027,Flame Scanner — UV Type,Thermic Fluid Heater,Instrumentation,TFS-UV-0180,3,2,32000,21,2025-03-20,4,High,Pune Central
SP-028,TF Expansion Tank Gaskets,Thermic Fluid Heater,Sealing,TEG-ET-0120,12,6,1200,7,2025-04-05,18,Low,Pune Central
SP-029,Burner Air Register Assembly,Thermic Fluid Heater,Combustion,TBA-RA-0680,2,1,55000,45,2024-12-20,2,High,Savli Works
SP-030,TF Heater Coil Support Studs,Thermic Fluid Heater,Structural,TCS-SS-0060,50,20,850,14,2025-03-25,40,Low,Pune Central
SP-031,WHRB Drum Safety Valve,WHRB,Safety,TWS-SV-1200,2,1,92000,50,2024-11-15,1,Critical,Pune Central
SP-032,WHRB Feedwater Control Valve,WHRB,Control,TWF-CV-0850,1,1,145000,60,2025-01-22,2,Critical,Savli Works
SP-033,WHRB Desuperheater Spray Valve,WHRB,Control,TWD-SV-0640,2,1,78000,45,2025-04-10,2,High,Pune Central
SP-034,FGD Agitator Shaft Bearing,FGD System,Rotating Equipment,TFA-SB-0480,4,2,22000,28,2025-03-08,5,High,Pune Central
SP-035,FGD Rubber Lining Sheets,FGD System,Lining,TFR-LS-0030,100,40,3200,30,2025-02-18,80,Medium,Savli Works
SP-036,Limestone — Powder Grade,FGD System,Consumable,TLS-PG-5000,10000,4000,8,5,2025-04-15,22000,Medium,Pune Central
SP-037,FGD pH Sensor Assembly,FGD System,Instrumentation,TFP-SA-0220,6,3,15000,14,2025-03-30,8,High,Pune Central
SP-038,Absorption Chiller Solution Pump,Absorption Chiller,Pumping,TAC-SP-0950,1,1,185000,60,2024-10-10,1,Critical,Savli Works
SP-039,Chiller Purge Unit Assembly,Absorption Chiller,Vacuum,TCP-UA-0380,2,1,45000,35,2025-02-22,2,High,Pune Central
SP-040,Chiller Heat Exchanger Gaskets,Absorption Chiller,Sealing,TCH-EG-0150,8,4,5500,14,2025-04-20,10,Medium,Pune Central
SP-041,ESP Rapping Motor Assembly,ESP,Emission Control,TER-MA-0550,4,2,42000,35,2025-03-12,5,High,Savli Works
SP-042,ESP Discharge Electrode Wire,ESP,Emission Control,TED-EW-0080,200,80,1500,21,2025-01-30,160,Medium,Pune Central
SP-043,ESP T-R Set Rectifier Diodes,ESP,Electrical,TET-RD-0250,8,4,18000,28,2025-04-08,6,High,Pune Central
SP-044,ESP Insulator — Support Type,ESP,Electrical,TEI-ST-0450,6,3,25000,30,2025-02-14,4,Medium,Savli Works
SP-045,Cooling Tower Fan Blades — FRP,Cooling Tower,Rotating Equipment,TCT-FB-4200,4,2,75000,45,2025-03-18,3,High,Hyderabad
SP-046,CT Gear Reducer — Complete,Cooling Tower,Rotating Equipment,TCT-GR-1800,1,1,225000,75,2024-09-25,1,Critical,Hyderabad
SP-047,CT Fill Media — PVC Honeycomb,Cooling Tower,Heat Transfer,TCT-FM-1200,500,200,450,21,2025-04-25,800,Medium,Hyderabad
SP-048,CT Drift Eliminator Modules,Cooling Tower,Emission Control,TCT-DE-0600,20,8,6500,14,2025-03-05,15,Low,Hyderabad
SP-049,Evaporator Tube Bundle,Evaporator,Heat Transfer,TEV-TB-2800,2,1,165000,60,2024-12-10,2,Critical,Chennai
SP-050,Evaporator Circulation Pump Impeller,Evaporator,Pumping,TEV-PI-0680,3,1,38000,30,2025-02-08,4,High,Chennai
SP-051,Bag Filter Cages — Wire Type,Bag Filter,Filtration,TBF-CG-1500,100,40,1800,14,2025-04-12,120,Medium,Pune Central
SP-052,Filter Bags — PPS Needle Felt,Bag Filter,Filtration,TBF-BG-2200,200,80,2200,21,2025-03-22,280,High,Pune Central
SP-053,Pulse Valve Diaphragm Kit,Bag Filter,Cleaning,TBF-PV-0100,24,12,1500,10,2025-04-18,36,Medium,Pune Central
SP-054,Bag Filter Solenoid Valve,Bag Filter,Cleaning,TBF-SV-0080,12,6,3500,14,2025-03-28,16,Medium,Pune Central
SP-055,DM Plant Cation Resin — Strong Acid,DM Plant,Treatment,TDM-CR-0050,2000,800,180,21,2025-02-25,3500,Medium,Chennai
