fta_id,equipment_type,top_event,gate_type,intermediate_events,basic_events,probability,most_likely_path,verification_method
FTA-001,AFBC Boiler,Boiler Trip — Unplanned Shutdown,OR,"1. High drum pressure|2. Low drum level|3. Flame failure|4. High bed temperature|5. Fan trip","1.1 Safety valve malfunction|1.2 PCV failure|2.1 BFW pump trip|2.2 Level transmitter error|3.1 Fuel interruption|3.2 Air supply loss|4.1 Poor fuel quality|4.2 Air distribution failure|5.1 Bearing failure|5.2 Motor overload",0.02 per month,"Fan trip → Bearing failure → Insufficient lubrication → Maintenance gap",Check vibration trends → Bearing inspection → Lubrication schedule audit
FTA-002,AFBC Boiler,Low Boiler Efficiency,AND,"1. Heat loss — flue gas|2. Heat loss — unburnt|3. Heat loss — radiation","1.1 High exit gas temp|1.2 Excess air|2.1 Fly ash LOI high|2.2 Bottom ash LOI high|3.1 Insulation damage|3.2 Air ingress",0.15 per month,"High exit gas temp → APH fouling → Coal ash deposits → Inadequate soot blowing",APH ΔT measurement → Soot blower inspection → Schedule compliance check
FTA-003,Thermic Fluid Heater,TF Heater — No Heat Output,OR,"1. Burner failure|2. Circulation failure|3. Fluid degradation","1.1 Nozzle blockage|1.2 Ignition failure|1.3 Flame scanner fault|2.1 Pump trip|2.2 Air lock|3.1 Fluid breakdown|3.2 Fluid contamination",0.01 per month,"Burner failure → Nozzle blockage → Fuel contamination → No inline strainer",Nozzle spray test → Fuel quality check → Strainer installation
FTA-004,WHRB,WHRB — Steam Quality Deterioration,OR,"1. Drum carryover|2. Tube leak|3. Control instability","1.1 High drum level|1.2 Contaminated feedwater|1.3 Chemical dosing failure|2.1 Tube erosion|2.2 Tube corrosion|3.1 Control valve failure|3.2 Sensor drift",0.05 per month,"Drum carryover → High drum level → Control valve hunting → PID tuning issue",Steam purity test → Drum level trend → Control valve response check
FTA-005,FGD System,FGD — Emission Non-Compliance,OR,"1. Low SO2 removal efficiency|2. Measurement error|3. Bypass operation","1.1 Low slurry pH|1.2 Pump underperformance|1.3 ME blockage|2.1 CEMS calibration drift|2.2 Sample line blockage|3.1 Damper malfunction|3.2 Emergency bypass",0.03 per month,"Low removal → Low slurry pH → Limestone feed rate low → Feeder blockage",pH trend analysis → Limestone feeder inspection → Flow rate measurement
FTA-006,Absorption Chiller,Chiller — Capacity Loss > 20%,AND,"1. Heat transfer degradation|2. Vacuum loss|3. Solution imbalance","1.1 Generator tube scaling|1.2 Absorber crystallization|2.1 Air leak|2.2 Purge pump failure|3.1 Solution dilution|3.2 Inhibitor depletion",0.08 per month,"Vacuum loss → Air leak → Seal degradation → Age/thermal cycling",Vacuum gauge reading → Helium leak test → Seal replacement schedule
FTA-007,AFBC Boiler,ID Fan Trip,OR,"1. Mechanical failure|2. Electrical failure|3. Protection trip","1.1 Bearing failure|1.2 Impeller damage|1.3 Coupling failure|2.1 Motor winding fault|2.2 VFD trip|2.3 Power supply loss|3.1 High vibration trip|3.2 High temperature trip",0.04 per month,"Bearing failure → Lubrication degradation → Contamination → Seal wear",Vibration spectrum → Bearing temperature → Oil analysis → Seal inspection
FTA-008,AFBC Boiler,Tube Failure — Water Wall,OR,"1. Erosion|2. Corrosion|3. Overheating|4. Fatigue","1.1 Soot blower impingement|1.2 Bed material erosion|2.1 Oxygen pitting|2.2 Caustic gouging|3.1 Circulation issue|3.2 Scale/deposit|4.1 Thermal cycling|4.2 Vibration fatigue",0.06 per month,"Erosion → Soot blower impingement → Misaligned lance → Maintenance oversight",UT thickness survey → Soot blower alignment check → Tube sample metallurgy
FTA-009,CFBC Boiler,Cyclone Separator Failure,OR,"1. Refractory erosion|2. Structural damage|3. Dip leg seal failure","1.1 Abrasive ash|1.2 High velocity|1.3 Wrong refractory grade|2.1 Thermal stress|2.2 Expansion joint failure|3.1 Seal pot level loss|3.2 Air ingress through dip leg",0.05 per month,"Refractory erosion → Abrasive ash → High silica/alumina content → Fuel source change",Refractory thickness measurement → Ash abrasion index test → Fuel quality review
FTA-010,CFBC Boiler,CFBC Bed Agglomeration,AND,"1. High bed temperature|2. Low ash fusion fuel|3. Insufficient bed drain","1.1 Excess fuel feed|1.2 Air distribution failure|1.3 TC error|2.1 Fuel quality change|2.2 No AFT testing|3.1 Drain valve stuck|3.2 Drain system blockage",0.03 per month,"High bed temp → Excess fuel feed → Feeder calibration error → Maintenance gap",Bed temperature profile → Feeder output verification → Fuel quality analysis
FTA-011,Thermic Fluid Heater,TF Heater Fire Incident,OR,"1. Fluid leak onto hot surface|2. Coil rupture|3. Electrical fire","1.1 Flange gasket failure|1.2 Pump seal leak|1.3 Expansion tank overflow|2.1 Coil corrosion|2.2 Overtemperature|3.1 Wiring fault|3.2 Motor short circuit",0.005 per month,"Fluid leak → Flange gasket failure → Thermal degradation of gasket → Exceeding design temperature",Visual leak inspection → Gasket condition check → Temperature log review → Gasket replacement schedule
