invoice_no,invoice_date,vendor_name,vendor_gstin,po_reference,description,base_amount_inr,cgst_inr,sgst_inr,igst_inr,total_amount_inr,due_date,payment_status,payment_date,payment_ref,aging_days,cost_center,project_code,verified_by
INV-KSB-4521,2026-01-20,KSB Pumps Ltd,27AABCK1234Q1ZP,PO-2026-1201,Advance 30% — BFP 2 units,1272000,0,0,228960,1500960,2026-02-19,Paid,2026-02-15,NEFT-20260215-001,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
INV-ABB-8833,2026-01-25,ABB India,29AABCA5678R2ZQ,PO-2026-1202,Advance 50% — VFD 3 units,1170000,0,0,210600,1380600,2026-02-24,Paid,2026-02-22,NEFT-20260222-002,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
INV-ABB-9012,2026-03-20,ABB India,29AABCA5678R2ZQ,PO-2026-1202,Balance 50% — VFD delivery,1170000,0,0,210600,1380600,2026-04-19,Paid,2026-04-18,NEFT-20260418-005,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
INV-TBW-3301,2026-03-30,Thermax Babcock Wilcox,27AABCT9012S3ZR,PO-2026-1203,Full payment — SH Tubes 120 nos,1020000,91800,91800,0,1203600,2026-04-29,Due,,,1,CC-PROJ-03,PRJ-BH-2026-003,Project Accountant
INV-LNT-7788,2026-03-15,Larsen & Toubro,27AABCL3456T4ZS,PO-2026-1204,Advance 20% — Structural Steel,1054000,94860,94860,0,1243720,2026-04-14,Paid,2026-04-12,NEFT-20260412-004,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
INV-LNT-7856,2026-04-05,Larsen & Toubro,27AABCL3456T4ZS,PO-2026-1204,Progress Bill #1 — 40% fabrication,2108000,189720,189720,0,2487440,2026-05-05,Due,,,18,CC-PROJ-01,PRJ-DC-2026-001,Project Accountant
INV-IGW-1122,2026-03-28,Indo German Wire Screen,27AABCI7890U5ZT,PO-2026-1205,Full payment — Nozzles 500 nos,1400000,126000,126000,0,1652000,2026-04-27,Due,,,0,CC-PROJ-02,PRJ-TC-2026-002,Project Accountant
INV-CSC-5544,2026-02-25,Control & Switchgear Co,27AABCC2345V6ZU,PO-2026-1206,Advance 30% — MCC Panels,750000,67500,67500,0,885000,2026-03-27,Paid,2026-03-25,NEFT-20260325-003,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
INV-SGC-6677,2026-04-08,Saint-Gobain Ceramics,27AABCS5678W7ZV,PO-2026-1207,Full payment — Refractory 25MT,1125000,0,0,202500,1327500,2026-05-08,Due,,,15,CC-PROJ-03,PRJ-BH-2026-003,Project Accountant
INV-HON-2211,2026-03-10,Honeywell India,27AABCH8901X8ZW,PO-2026-1208,Advance 20% — DCS System,960000,0,0,172800,1132800,2026-04-09,Paid,2026-04-08,NEFT-20260408-006,0,CC-PROJ-01,PRJ-DC-2026-001,Finance Controller
