Level,Item,Description,Revision,Type,Status,Engineering Item,Item Seq,Op Seq,Alternate,Engineering Bill,Comments,UOM,Basis,Quantity,Planning %,Yield,Extended Quantity,Effectivity Control,From,To,From Date,To Date,Disabled,Implemented,ECO,Supply Type,Subinventory,Locator,Costed,Unit Cost,Extended Quantity,Extended Cost,Operation Seq,Manufacturing,Offset,Cumulative Manufacuturing,Cumulative Total,Optional,Mutually Exclusive,ATP,Min Qty,Max Qty,Sales Order Basis,Shippable,Include on Ship Docs,Required To Ship,Required For Revenue
1,-  W630414G01,ROTORY EQUIPMENTS,4,SOS Dummy,Active,,1,1,,,,LOT,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763204,Push,,,,,1,,1,,,,,,,,,,None,,,,
2,-  W630414G02,AGITATORS,1,SOS Dummy,Active,,1,1,,,,LOT,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763204,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQBGAA1473,"AGITATOR, TAG NO.: MF-E255-MX-620-621-A/B, SERVICE: AGITATOR FOR Na2C03 DOSING TANK , AS PER DOC NO.: WHMHA00340",0,Finished good,Active,,1,1,,,,NOS,Item,2,100,1,2,Date,,,2024-10-28,,,*,WVO-763204,Push,,,,,2,,1,180,,,,,,,,,None,*,,,
3,WQBGAA1474,"AGITATOR, TAG NO.: MF-E255-MX-620-622-A/B, SERVICE: AGITATOR FOR NAHCO3 DOSING TANK, AS PER DOC NO.: WHMHA00341",0,Finished good,Active,,2,1,,,,NOS,Item,2,100,1,2,Date,,,2024-10-28,,,*,WVO-763204,Push,,,,,2,,1,180,,,,,,,,,None,*,,,
2,-  W630414G03,DOSING PUMPS,1,SOS Dummy,Active,,2,1,,,,LOT,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763206,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQBAGA1156,"DOSING PUMP, TAG NO.:  MP-E255-P-620-621-A/B, SERVICE: Na2C03 DOSING PUMPS, AS PER DOC NO.: WHMEA01137",0,Finished good,Active,,1,1,,,,NOS,Item,2,100,1,2,Date,,,2024-10-28,,,*,WVO-763206,Push,,,,,2,,1,180,,,,,,,,,None,*,,,
3,WQBAGA1157,"DOSING PUMP, TAG NO.: MP-E255-P-620-622-A/B, SERVICE: NaHC03 DOSING PUMPS, AS PER DOC NO.: WHMEA01138",0,Finished good,Active,,2,1,,,,NOS,Item,2,100,1,2,Date,,,2024-10-28,,,*,WVO-763206,Push,,,,,2,,1,180,,,,,,,,,None,*,,,
3,WQBAGA1158,"DOSING PUMP, TAG NO.: MP-E255-P-620-623-A/B, SERVICE: HYPO DOSING PUMPS, AS PER DOC NO.: WHMEA01139",0,Finished good,Active,,3,1,,,,NOS,Item,2,100,1,2,Date,,,2024-10-28,,,*,WVO-763206,Push,,,,,2,,1,180,,,,,,,,,None,*,,,
2,-  W630414G04,CO2 SYSTEM,1,SOS Dummy,Active,,3,1,,,,LOT,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763208,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQBGAA1475,"CO2 SYSTEM, TAG NO.: NO TAG, SERVICE: CO2 SYSTEM, AS PER DOC NO.: WHMIA00084",0,Finished good,Active,,1,1,,,,SET,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763208,Push,,,,,1,,1,180,,,,,,,,,None,*,,,
