=== SHEET: PopCache (6 rows x 3 cols) ===

SERVICE ITEMS,LEVEL 1,No
SUPPLY ITEMS,LEVEL 2,Yes
,LEVEL 3,
,LEVEL 4,
,LEVEL 5,
,LEVEL 6,

=== SHEET: BneWorkBookProperties (1 rows x 1 cols) ===

"<bne:properties xmlns:bne=""http://www.oracle.com/bne""><item><name>contentsheetcount</name><value>1</value></item><item><name>contentidentifier</name><value>3OV4o2TAZ4</value></item><item><name>contentgroupname</name><value></value></item><item><name>BneWorkBookSequence</name><value>1</value></item></bne:properties>"

=== SHEET: Civil WBS (5012 rows x 42 cols) ===

ITEM TYPE,SERVICE ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PROJECT CODE:,P024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT NAME,2X25MW RCF Trombay Civil E&C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING UNIT,TIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*INVENTORY ORGANIZATION CODE,MTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY ORGANIZATION NAME,MPP HO TIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSAL ESTIMATION WBS STATUS,FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*WBS LEVEL 1,WBS LEVEL 5,WBS LEVEL 6,WBS LEVEL 7,WBS LEVEL 8,WBS LEVEL 9,WBS LEVEL 10,ITEM DETAILS,*CBS CODE,*PARENT ITEM CODE,*COMPONENT ITEM CODE,*UNIT OF MEASURE,*PROPOSAL QUANTITY,PROPOSAL RATE,PROPOSAL AMOUNT,*BOM LEVEL,CURRENCY,ITEM DESCRIPTION,*PACKAGE ITEM,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,DELETE FLAG,CREATED_BY,CREATION DATE,LAST_UPDATED_BY,LAST UPDATE DATE,LAST_UPDATE_LOGIN,CREATED BY NAME,LAST UPDATED BY NAME,LINE_ID,,,Messages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Set 'Y' to Delete,,,,,,,,"Do No Update, Delete",,,
CIVIL,,,,,,,,CON00,000000P024,IJ241CIV00,SET,1,,,LEVEL 1,INR,Raft for Steel  chimney,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356710,,,
CIVIL,Boiler MCC Room,,,,,,,CON00,IJ241CIV00,IJ245HBL0T,SET,1,,,LEVEL 2,INR,Boiler MCC Room,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356711,,,
CIVIL,Boiler MCC Room,"Earthwork in Excavation for all kinds of works such as foundations, trenches, pavements, manholes, storm water drains, culverts, cable crossings, pipeway crossings, pipeway bridges, pipes sleepers, pipelines, pits etc., in all types of soils like loose earth, moorum over burdens etc., for depth upto 3.50m from natural ground level, including removal of vegetation, shrubs and debris, cutting and dressing of sides in slopes, levelling, grading and ramming of bottoms, disposal/stacking of the excavated material within a lead of 1000m as per drawings, specifications and directed by Engineer-in-charge, including pumping and bailing out of subsurface and rain water and keeping the surface dry for subsequent works etc., including the cost of supplying shoring, strutting and dewatering.",,,,,,CON41,IJ245HBL0T,NI00035604,CUM,599.85,,,LEVEL 3,INR,"Earthwork in Excavation for all kinds of works such as foundations, trenches, pavements, manholes, storm water drains, culverts, cable crossings, pipeway crossings, pipeway bridges, pipes sleepers, pipelines, pits etc.,",Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356712,,,
CIVIL,Boiler MCC Room,"Earthwork in Backfilling with earth obtained from stacks within a lead of 1000m in & around foundations, trenches, below grade slabs, pavements, pits etc., to proper grade and level with selected materials from available excavated material, including re-excavating the deposited material excavated earlier, breaking clods, laying at all depths and heights in layers of thickness not exceeding 150mm, watering, rolling and ramming by manual/mechanical compactors to achieve 90% laboratory max dry density, dressing, trimming etc., all complete as per specifications, drawings and as directed by the Engineer-in-charge.",,,,,,CON41,IJ245HBL0T,NI00035606,CUM,336.26,,,LEVEL 3,INR,"Earthwork in Backfilling with earth obtained from stacks within a lead of 1000m in & around foundations, trenches, below grade slabs, pavements, pits etc.,",Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356713,,,
CIVIL,Boiler MCC Room,"Carting away the surplus earth and debris from construction areas  distance ater 1000m & disposal of the same within plant premises including stacking, laying, etc. complete as per drawings, specifications and as directed by Engineer-In-Charge.",,,,,,CON41,IJ245HBL0T,NI00035608,CUM,163.59,,,LEVEL 3,INR,"Carting away the surplus earth and debris from construction areas immediately or simultaneously (along with excavation) and disposal after 1000 m 2500 m of the same within plant premises including stacking, laying, etc.",Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356714,,,
CIVIL,Boiler MCC Room,Same as item 1.15. above with two layers of 115mm thick (total thickness being 230mm) compacted crushed stone soling.,,,,,,CON41,IJ245HBL0T,VZA64SOL2L,CUM,162.51,,,LEVEL 3,INR,Providing and laying two layers of 115mm thick compacted crushed stone soling,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356715,,,
CIVIL,Boiler MCC Room,"Supplying and laying in position plain cement concrete of the following mix M-10 with machine crushed coarse aggregates as per relevant IS standards , with cement supplied by the owner, including consolidation of subgrade wherever required, staging, shuttering, tamping, curing, etc. complete for all depths and heights as per specifications, drawings and as directed by the Engineer-in-charge.",,,,,,CON42,IJ245HBL0T,VZB02PC2C2,CUM,67,,,LEVEL 3,INR,Providing and laying in position PCC with 20 mm down  graded aggregate - 1:3:6,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356716,,,
CIVIL,Boiler MCC Room,"Supplying and laying in position reinforced cement concrete of grade M – 20 with 20mm and down size graded machine crushed aggregates for Paving and Grade Slab including laying in alternate panels, Supplying construction joints, Grove cutting ,Bitumen filling in joint,curing, cost of shuttering for sides, admixture,finishing of top surface of the pavement shall be compacted either by means of power driven finishing machine or by a vibrating hand screed for areas where width of the slab is very small as the corner of street junctions etc, for all depths as per specifications, drawings and as directed by the Engineer-in-charge but excluding the cost of cement & reinforcement steel.",,,,,,CON42,IJ245HBL0T,NI00036985,CUM,104.78,,,LEVEL 3,INR,Supplying and laying in position reinforced cement concrete of grade M – 20 with 20mm and down size graded machine crushed aggregates for Paving and Grade Slab,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356717,,,
CIVIL,Boiler MCC Room,M30 - upto Plinth,,,,,,CON42,IJ245HBL0T,VZB14ST0R4,CUM,230.66,,,LEVEL 3,INR,Providing and laying in position RCC upto plinth - Grade M30,Yes,,,,,,,,,,,,,34834,6/28/18,34834,6/28/18,34834,0A6916,0A6916,356718,,,
