progress_id,project_id,week_number,report_date,planned_progress_pct,actual_progress_pct,schedule_variance_pct,agent_slippage_alert,site_manager_comment,escalation_required
SP-00001,PRJ-2026-0001,1,2025-12-29,7.02,1.4,-5.62,Yes,Minor delay,No
SP-00002,PRJ-2026-0001,2,2026-01-05,20.29,15.12,-5.17,Yes,Good progress,No
SP-00003,PRJ-2026-0001,3,2026-01-12,19.83,19.85,0.01,No,Ahead of schedule,No
SP-00004,PRJ-2026-0001,4,2026-01-19,26.04,19.08,-6.96,Yes,Resource constraint,No
SP-00005,PRJ-2026-0001,5,2026-01-26,41.66,43.33,1.66,No,Resource constraint,No
SP-00006,PRJ-2026-0001,6,2026-02-02,37.45,40.18,2.73,No,Resource constraint,No
SP-00007,PRJ-2026-0001,7,2026-02-09,45.2,44.67,-0.53,No,Minor delay,No
SP-00008,PRJ-2026-0002,1,2025-12-29,8.02,3.58,-4.45,No,On track,No
SP-00009,PRJ-2026-0002,2,2026-01-05,20.82,22.23,1.4,No,On track,No
SP-00010,PRJ-2026-0002,3,2026-01-12,31.77,30.5,-1.27,No,Ahead of schedule,No
SP-00011,PRJ-2026-0002,4,2026-01-19,43.23,46.14,2.91,No,Material pending,No
SP-00012,PRJ-2026-0002,5,2026-01-26,54.02,55.46,1.44,No,On track,No
SP-00013,PRJ-2026-0002,6,2026-02-02,63.35,57.64,-5.7,Yes,Ahead of schedule,No
SP-00014,PRJ-2026-0003,1,2025-12-29,8.93,4.61,-4.32,No,On track,No
SP-00015,PRJ-2026-0003,2,2026-01-05,17.5,18.71,1.21,No,Minor delay,No
SP-00016,PRJ-2026-0003,3,2026-01-12,28.33,24.0,-4.33,No,Weather impact,No
SP-00017,PRJ-2026-0003,4,2026-01-19,38.59,39.64,1.05,No,Good progress,No
SP-00018,PRJ-2026-0004,1,2025-12-29,10.58,12.29,1.71,No,Material pending,No
SP-00019,PRJ-2026-0004,2,2026-01-05,15.68,16.39,0.71,No,On track,No
SP-00020,PRJ-2026-0004,3,2026-01-12,19.14,17.78,-1.36,No,Ahead of schedule,No
SP-00021,PRJ-2026-0004,4,2026-01-19,34.52,35.01,0.49,No,On track,No
SP-00022,PRJ-2026-0004,5,2026-01-26,43.48,37.97,-5.52,Yes,Resource constraint,No
SP-00023,PRJ-2026-0004,6,2026-02-02,50.32,51.54,1.22,No,Ahead of schedule,No
SP-00024,PRJ-2026-0004,7,2026-02-09,76.89,71.03,-5.86,Yes,Minor delay,No
SP-00025,PRJ-2026-0004,8,2026-02-16,72.26,69.83,-2.44,No,Minor delay,No
SP-00026,PRJ-2026-0004,9,2026-02-23,74.31,70.0,-4.31,No,On track,No
SP-00027,PRJ-2026-0004,10,2026-03-02,64.61,66.88,2.27,No,Minor delay,No
SP-00028,PRJ-2026-0005,1,2025-12-29,8.68,11.03,2.35,No,Ahead of schedule,No
SP-00029,PRJ-2026-0005,2,2026-01-05,15.67,7.9,-7.77,Yes,Minor delay,No
SP-00030,PRJ-2026-0005,3,2026-01-12,25.39,21.74,-3.65,No,Ahead of schedule,No
SP-00031,PRJ-2026-0005,4,2026-01-19,38.88,36.59,-2.29,No,On track,No
SP-00032,PRJ-2026-0005,5,2026-01-26,48.66,45.35,-3.31,No,On track,No
SP-00033,PRJ-2026-0005,6,2026-02-02,64.32,65.94,1.62,No,Resource constraint,No
SP-00034,PRJ-2026-0005,7,2026-02-09,72.97,68.95,-4.03,No,Resource constraint,No
SP-00035,PRJ-2026-0005,8,2026-02-16,51.54,53.12,1.58,No,Material pending,No
SP-00036,PRJ-2026-0005,9,2026-02-23,60.93,57.94,-2.99,No,Good progress,No
SP-00037,PRJ-2026-0005,10,2026-03-02,70.64,73.12,2.48,No,Weather impact,No
SP-00038,PRJ-2026-0005,11,2026-03-09,100,95.91,-4.09,No,Resource constraint,No
SP-00039,PRJ-2026-0005,12,2026-03-16,100,96.8,-3.2,No,Material pending,No
SP-00040,PRJ-2026-0006,1,2025-12-29,8.12,6.3,-1.82,No,Resource constraint,No
SP-00041,PRJ-2026-0006,2,2026-01-05,14.11,11.88,-2.23,No,Weather impact,No
SP-00042,PRJ-2026-0006,3,2026-01-12,29.24,21.69,-7.56,Yes,Weather impact,No
SP-00043,PRJ-2026-0006,4,2026-01-19,41.93,33.98,-7.95,Yes,Ahead of schedule,No
