brief_id,signal_id,customer_id,account_tier,pain_points,value_hypothesis,proposed_solutions,estimated_deal_size_inr_cr,created_date,agent_id,agent_confidence,approved_by,approval_date,status
BRF-2026-0001,SIG-2026-0057,CUST-0003,Tier 1,Statutory audit gaps; Manual O&M overhead,Reduce energy cost by 19% and cut emissions by 26%,Thermopac Thermic Fluid Heater; Reverse Osmosis Plant,8,2025-12-22,AGT-MKT-01,0.94,Sarika Bose,2026-03-30,Pending
BRF-2026-0002,SIG-2026-0018,CUST-0034,Tier 2,Manual O&M overhead; Water discharge issues; Emission norm non-compliance,Reduce energy cost by 11% and cut emissions by 15%,MBR Sewage Treatment Plant; Green Hydrogen Electrolyser; Cooling Tower Chemicals Package,45,2026-01-07,AGT-MKT-01,0.933,Deepak Khanna,2026-02-11,Revised
BRF-2026-0003,SIG-2026-0028,CUST-0040,Tier 3,Emission norm non-compliance; Low boiler efficiency; Frequent unplanned shutdowns,Reduce energy cost by 10% and cut emissions by 29%,Spare Parts Contract,25,2026-03-25,AGT-MKT-01,0.912,Kunal Bansal,2026-01-20,Approved
BRF-2026-0004,SIG-2026-0070,CUST-0019,Tier 1,Data visibility gaps; Rising Scope 1 emissions; Manual O&M overhead; Frequent unplanned shutdowns,Reduce energy cost by 19% and cut emissions by 31%,Triple Effect Absorption Chiller,25,2026-02-24,AGT-MKT-01,0.908,Rohit Banerjee,2026-04-12,Approved
BRF-2026-0005,SIG-2026-0048,CUST-0030,Tier 1,Low boiler efficiency; Rising Scope 1 emissions; Water discharge issues; High carbon footprint,Reduce energy cost by 23% and cut emissions by 31%,Performance Enhancement Retrofit; Waste Heat Recovery Boiler,200,2026-03-15,AGT-MKT-01,0.944,Preeti Patel,2025-12-24,Revised
BRF-2026-0006,SIG-2026-0067,CUST-0023,Tier 3,Chemical consumption excess; Frequent unplanned shutdowns; Statutory audit gaps; High carbon footprint,Reduce energy cost by 24% and cut emissions by 16%,Cooling Tower Chemicals Package,8,2026-03-08,AGT-MKT-01,0.811,Arun Bansal,2026-02-20,Approved
BRF-2026-0007,SIG-2026-0067,CUST-0019,Tier 2,Manual O&M overhead; Energy intensity above benchmark,Reduce energy cost by 16% and cut emissions by 19%,Crossflow Cooling Tower; RO Membrane Antiscalants; ProChill Absorption Chiller,5,2025-12-09,AGT-MKT-01,0.878,Nandita Saxena,2026-03-10,Approved
BRF-2026-0008,SIG-2026-0044,CUST-0037,Tier 1,High fuel costs; Manual O&M overhead,Reduce energy cost by 16% and cut emissions by 35%,Performance Enhancement Retrofit,2,2026-04-09,AGT-MKT-01,0.85,Nikhil Pillai,2026-02-03,Approved
BRF-2026-0009,SIG-2026-0062,CUST-0016,Tier 2,Low boiler efficiency; Data visibility gaps; High fuel costs,Reduce energy cost by 13% and cut emissions by 29%,Solar Thermal System; Biomass Gasifier,80,2026-02-23,AGT-MKT-01,0.818,Suresh Bansal,2026-01-27,Approved
BRF-2026-0010,SIG-2026-0052,CUST-0009,Tier 3,Low boiler efficiency; Cooling water scarcity; Emission norm non-compliance; Ageing utility infrastructure,Reduce energy cost by 11% and cut emissions by 23%,Flue Gas Desulphurisation; Reverse Osmosis Plant,45,2026-03-23,AGT-MKT-01,0.76,Ashok Vaidya,2026-01-01,Approved
BRF-2026-0011,SIG-2026-0021,CUST-0053,Tier 3,Cooling water scarcity; Emission norm non-compliance; Frequent unplanned shutdowns; Ageing utility infrastructure,Reduce energy cost by 24% and cut emissions by 29%,Crossflow Cooling Tower; Green Hydrogen Electrolyser,45,2026-04-11,AGT-MKT-01,0.768,Ritu Mukherjee,2025-12-22,Approved
BRF-2026-0012,SIG-2026-0028,CUST-0038,Tier 1,Water discharge issues; Ageing utility infrastructure,Reduce energy cost by 23% and cut emissions by 24%,Shellmax Oil and Gas Boiler; ProChill Lithium Bromide Chiller; Digital Monitoring Platform,45,2026-03-13,AGT-MKT-01,0.926,Jitendra Pandey,2026-01-05,Approved
BRF-2026-0013,SIG-2026-0006,CUST-0026,Tier 3,Emission norm non-compliance; Cooling water scarcity; Energy intensity above benchmark; Water discharge issues,Reduce energy cost by 10% and cut emissions by 27%,Spare Parts Contract; Scrubber System; Triple Effect Absorption Chiller,2,2026-03-15,AGT-MKT-01,0.945,Ritu Pandey,2026-01-22,Pending
BRF-2026-0014,SIG-2026-0047,CUST-0049,Tier 1,Energy intensity above benchmark; High carbon footprint; Rising Scope 1 emissions; High fuel costs,Reduce energy cost by 9% and cut emissions by 16%,Captive Power Plant 50 MW,8,2025-12-16,AGT-MKT-01,0.854,Suresh Srivastava,2025-12-08,Approved
BRF-2026-0015,SIG-2026-0042,CUST-0040,Tier 1,Chemical consumption excess; Data visibility gaps; Water discharge issues,Reduce energy cost by 18% and cut emissions by 31%,RO Membrane Antiscalants; Green Hydrogen Electrolyser; Crossflow Cooling Tower,45,2025-12-16,AGT-MKT-01,0.913,Sarika Joshi,2026-03-21,Revised
BRF-2026-0016,SIG-2026-0040,CUST-0051,Tier 3,Water discharge issues; Manual O&M overhead; Chemical consumption excess,Reduce energy cost by 15% and cut emissions by 38%,Solar Thermal System,2,2026-03-04,AGT-MKT-01,0.855,Jitendra Vaidya,2026-01-11,Approved
