checklist_id,regulation,requirement_description,applicable_area,frequency,last_assessment_date,evidence_document,compliance_status,gap_description,action_required,responsible,target_date,status
CHK-001,Factories Act 1948 — Section 7,Factory license renewal and display,Entire Plant,Annual,2026-01-10,Factory license FR-2026-PUN-0045,Compliant,None,License renewed and displayed at main gate,Admin Manager,,Closed
CHK-002,Factories Act 1948 — Section 40B,Appointment of Safety Officer for >1000 workers,Chinchwad Plant,Continuous,2026-03-01,Appointment letter of V. Desai (EHS Manager),Compliant,None,Safety Officer appointed and notified to factory inspector,HR Head,,Closed
CHK-003,Environment Protection Act — CPCB,Consent to Operate (CTO) — Air and Water,Chinchwad + Savli,Annual,2026-02-15,CTO-AIR-2026-001 and CTO-WATER-2026-001,Compliant,None,CTOs renewed for both plants; valid until Dec-2026,EHS Manager,,Closed
CHK-004,Environment Protection Act — CPCB,Continuous Emission Monitoring System (CEMS),All stacks >30 TPH boiler,Continuous,2026-03-01,CEMS data reports (monthly uploads to CPCB server),Compliant,CEMS uptime at 96% (target 95%),Maintain CEMS calibration; quarterly third-party verification,EHS Manager,,Closed
CHK-005,Indian Boiler Regulations (IBR) 1950,Annual inspection by IBR Competent Person,All registered boilers,Annual,2025-12-20,IBR Inspection Certificate BLR-001-2025,Compliant,None — next inspection due Dec-2026,Schedule IBR inspection for BLR-001 by Oct-2026 to avoid year-end rush,Maintenance Manager,2026-10-31,Planned
CHK-006,Hazardous Waste Management Rules 2016,Hazardous waste authorization and disposal,Chinchwad + Savli,Annual,2026-01-20,MPCB HW Authorization HW-2026-001,Compliant,None,Authorization renewed; disposal through authorized recycler (M/s Eco-Care),EHS Manager,,Closed
CHK-007,PESO (Petroleum and Explosives Safety),License for storage of diesel >2500L,Savli Plant,Annual,2025-11-15,PESO License PES-2025-SAV-002,Non-Compliant,License expired Nov-2025; renewal application pending with PESO since Oct-2025,Expedite PESO renewal; follow up weekly; maintain diesel stock below threshold until license received,EHS Manager,2026-04-30,Open — Critical
CHK-008,Electrical Safety — IS 3043,Electrical installation safety audit,All electrical installations,Bi-Annual,2025-09-01,Electrical Safety Audit Report ESA-2025-002,Partial Gap,Arc flash assessment not done (ref SA-002); earthing resistance >2 ohm at 3 locations,Complete arc flash assessment; re-drive earth electrodes at non-compliant locations,Electrical Maintenance Lead,2026-04-15,Open
CHK-009,ISO 14001:2015,Environmental Management System certification,Chinchwad Plant,Surveillance Audit Annual,2026-02-20,ISO 14001 Certificate (valid until 2027-08),Compliant,One minor NC: waste segregation signage incomplete in new extension area,Update waste bin signage in extension area within 30 days,Quality Manager,2026-03-20,Closed
CHK-010,ISO 45001:2018,Occupational Health and Safety Management System,Chinchwad + Savli,Surveillance Audit Annual,2026-02-20,ISO 45001 Certificate (valid until 2027-08),Compliant with Observations,2 observations: PPE compliance monitoring needs strengthening; management review minutes incomplete,Address observations before next surveillance audit,EHS Manager + Quality Manager,2026-08-20,Open
CHK-011,Building and Other Construction Workers Act,Registration of construction workers at project sites,All project erection sites,Per Project,2026-01-30,BOCW Registration — Dalmia Ariyalur site,Compliant,None,All contract workers registered; welfare cess deposited,Project Manager + HR,, Closed
CHK-012,Sexual Harassment of Women at Workplace Act (POSH),Internal Complaints Committee constitution and annual report,All Thermax locations,Annual,2026-01-05,ICC constitution order + Annual report FY2024-25,Compliant,None,ICC constituted with external member; annual report filed with District Officer,HR Head + ICC Chair,,Closed
