escalation_id,timestamp,agent_id,agent_name,entity_id,task_description,confidence_score,confidence_threshold,escalated_to_role,resolution_time_minutes,final_outcome
ESC-2026-0001,2025-12-05,AGT-SRV-01,Performance and Service Agent,ENT-4393,Unknown customer vertical,0.684,0.8,Legal Counsel,424,Knowledge base updated
ESC-2026-0002,2026-02-18,AGT-SAL-01,Qualification Agent,ENT-9568,Novel contract clause,0.643,0.8,CFO,275,Knowledge base updated
ESC-2026-0003,2026-03-30,AGT-SRV-01,Performance and Service Agent,ENT-9641,Multilingual content,0.726,0.8,CFO,320,"Human resolved, AI learned"
ESC-2026-0004,2026-01-14,AGT-HR-01,Mobilisation Agent,ENT-6473,Unstructured drawing,0.701,0.8,Service Director,300,Agent retrained
ESC-2026-0005,2026-03-07,AGT-PRS-01,Solution Agent,ENT-9585,Unknown customer vertical,0.641,0.8,Senior Solution Architect,260,Routed to specialist SME
ESC-2026-0006,2026-04-21,AGT-CMS-01,Commissioning Agent,ENT-2839,Outside training distribution,0.588,0.8,CFO,94,Policy updated
ESC-2026-0007,2026-01-21,AGT-ENG-01,Engineering Validation Agent,ENT-7880,Outside training distribution,0.66,0.8,Senior Solution Architect,253,Agent retrained
ESC-2026-0008,2026-04-14,AGT-ENG-01,Engineering Validation Agent,ENT-9740,Conflicting data sources,0.725,0.8,Senior Solution Architect,408,Knowledge base updated
ESC-2026-0009,2025-12-09,AGT-ORC-01,Workflow Orchestrator,ENT-7082,Novel contract clause,0.656,0.8,Safety Head,145,Escalated to committee
ESC-2026-0010,2026-02-28,AGT-FIN-01,Commercial Risk Agent,ENT-7744,Legacy project reference,0.696,0.8,Senior Solution Architect,148,Knowledge base updated
ESC-2026-0011,2026-04-12,AGT-CMS-01,Commissioning Agent,ENT-8123,Unstructured drawing,0.613,0.8,BU Head,278,Policy updated
ESC-2026-0012,2026-04-04,AGT-SIT-01,Execution Monitoring Agent,ENT-6531,Legacy project reference,0.658,0.8,Senior Solution Architect,58,Knowledge base updated
ESC-2026-0013,2026-04-10,AGT-FIN-01,Commercial Risk Agent,ENT-6752,First-of-kind technology,0.635,0.8,Service Director,202,Feature added to agent
