agent_instance_id,agent_name,stage,model_stack,version,deployment_region,status,deployed_date,last_updated,avg_monthly_invocations,avg_confidence_score,connected_tools_count
AGT-MKT-01-IND-001,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,India West,Active,2026-02-27,2026-04-19,9566,0.888,5
AGT-MKT-01-IND-002,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,India South,Deprecated,2025-07-14,2026-04-17,14798,0.852,7
AGT-MKT-01-IND-003,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,India North,Active,2025-07-20,2026-04-06,6082,0.874,3
AGT-MKT-01-IND-004,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,India East,Active,2025-07-21,2026-04-17,13969,0.858,10
AGT-MKT-01-MID-005,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,Middle East,Active,2025-05-31,2026-03-31,11746,0.857,5
AGT-MKT-01-SOU-006,Market Intelligence Agent,Marketing,gpt-4o + Claude Opus,v2.3,South East Asia,Staging,2025-10-18,2026-04-18,4566,0.865,15
AGT-SAL-01-IND-007,Qualification Agent,Sales,Claude Opus,v1.8,India West,Active,2025-05-16,2026-04-01,13455,0.93,15
AGT-SAL-01-IND-008,Qualification Agent,Sales,Claude Opus,v1.8,India South,Staging,2025-09-09,2026-04-06,7753,0.889,12
AGT-SAL-01-IND-009,Qualification Agent,Sales,Claude Opus,v1.8,India North,Active,2025-10-17,2026-04-02,10674,0.858,14
AGT-SAL-01-IND-010,Qualification Agent,Sales,Claude Opus,v1.8,India East,Active,2025-12-06,2026-03-31,3957,0.884,4
AGT-SAL-01-MID-011,Qualification Agent,Sales,Claude Opus,v1.8,Middle East,Active,2025-11-20,2026-04-15,9543,0.86,3
AGT-SAL-01-SOU-012,Qualification Agent,Sales,Claude Opus,v1.8,South East Asia,Active,2025-08-04,2026-03-29,10229,0.911,3
AGT-PRS-01-IND-013,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,India West,Active,2025-10-26,2026-03-29,5132,0.941,10
AGT-PRS-01-IND-014,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,India South,Active,2025-04-05,2026-04-13,4834,0.952,13
AGT-PRS-01-IND-015,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,India North,Staging,2025-04-18,2026-03-26,3741,0.905,11
AGT-PRS-01-IND-016,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,India East,Active,2025-04-25,2026-04-16,4852,0.957,4
