clause_id,contract_ref,customer,clause_type,clause_title,clause_text_summary,risk_level,thermax_position,redline_required,notes
CL-001,CON-101,Tata Steel,Indemnity,Unlimited Indemnity,"Contractor shall indemnify Owner against all claims, losses, and damages without any cap on liability",Critical,Thermax accepts indemnity capped at 100% of contract value; reject unlimited,Yes,"Standard Thermax position: indemnity capped at contract value"
CL-002,CON-101,Tata Steel,Liquidated Damages,LD for Delay,"LD at 1% of contract value per week of delay, maximum 15% of contract value",High,Thermax standard: 0.5%/week max 10%; counter at 0.75%/week max 10%,Yes,"15% cap is above Thermax threshold; negotiate down"
CL-003,CON-101,Tata Steel,Performance Guarantee,PG Shortfall Penalty,"For every 0.1 MW shortfall below 3.0 MW guaranteed output, penalty of 0.5% of contract value",Medium,Acceptable if tolerance band of ±2% is included and test conditions defined,No,"Within reasonable range; ensure test method specified"
CL-004,CON-101,Tata Steel,IP Rights,IP Assignment,"All designs, drawings, and IP developed during project shall become property of Owner",High,Thermax retains background IP; only project-specific deliverables assigned to customer,Yes,"Protect Thermax proprietary boiler designs and control software"
CL-005,CON-101,Tata Steel,Warranty,Extended Warranty,"Warranty period of 36 months from commissioning or 42 months from delivery, whichever is earlier",Medium,Thermax standard: 18 months from commissioning or 24 from delivery; counter at 24/30,Yes,"Extended warranty increases cost; price adjustment required"
CL-006,CON-102,UltraTech,Payment Terms,Advance Payment,"No advance payment; first payment at 30% upon delivery of major equipment to site",High,Thermax requires minimum 10% advance with PO; 20% preferred for EPC projects,Yes,"Cash flow impact significant; negotiate 10% advance"
CL-007,CON-102,UltraTech,Force Majeure,Narrow FM Definition,"Force majeure limited to natural disasters only; excludes government actions, epidemics, supply chain disruptions",High,Thermax requires broader FM including government orders and epidemic/pandemic events,Yes,"COVID-era learning: must include epidemic and supply chain events"
CL-008,CON-103,Cipla,Regulatory Compliance,cGMP Compliance,"Contractor shall ensure all installations comply with WHO-PQ and cGMP requirements at contractor's cost",Low,Acceptable — Thermax pharma division has established cGMP compliance procedures,No,"Standard pharma requirement; included in pricing"
CL-009,CON-104,NTPC,Payment Terms,Milestone Payments,"10% advance, 60% pro-rata on dispatch, 20% on erection completion, 10% on commissioning acceptance",Low,Acceptable — NTPC standard terms; aligned with Thermax requirements,No,"Government standard terms; no negotiation expected"
CL-010,CON-104,NTPC,Termination,Termination for Convenience,"Owner may terminate contract at any time for convenience with 30 days notice; payment for work done + 5% termination fee",Medium,Thermax prefers 60 days notice and 10% termination fee to cover demobilisation costs,Yes,"Government contracts often have this clause; negotiate termination fee"
