HIRA_ID,Activity,Location,Hazard_Description,Hazard_Category,Risk_Rating_Before,Existing_Controls,Residual_Risk,Additional_Controls_Required,Responsible_Person,Target_Date,Status
HIRA-001,Boiler tube welding,Boiler Shop,Exposure to welding fumes and UV radiation,Health - Chemical/Physical,High (16),Local exhaust ventilation; welding screens; PPE (helmet + gloves),Medium (8),Install centralized fume extraction system,EHS Head,2026-06-30,In Progress
HIRA-002,Confined space entry - boiler drum,Site,Oxygen deficiency and toxic gas exposure,Safety - Asphyxiation,Critical (25),Permit to work; gas testing; rescue team standby; BA sets,Medium (9),Install fixed gas monitoring system inside drums,Safety Officer,2026-05-15,Open
HIRA-003,Crane operation - heavy lifts >5T,Erection Site,Dropped load causing injury/fatality,Safety - Mechanical,High (20),Certified crane + operator; lift plan; exclusion zone; signalman,Medium (8),Third-party inspection of all lifting equipment quarterly,Project Manager,2026-04-30,Overdue
HIRA-004,Coal handling and crushing,Coal Yard,Coal dust explosion and respiratory exposure,Safety - Fire/Explosion + Health,High (16),Dust suppression; grounding/bonding; RPE; no-smoking zone,Medium (6),Install coal dust monitoring system with auto water spray,Operations Head,2026-07-31,Open
HIRA-005,Acid/alkali handling at DM Plant,WTP Area,Chemical burns and splash injuries,Health - Chemical,High (15),MSDS available; PPE (goggles + apron + gloves); emergency shower,Low (4),Install automatic chemical dosing to reduce manual handling,WTP Manager,2026-08-31,Open
HIRA-006,Working at height >2 meters,All Sites,Fall from height causing serious injury/fatality,Safety - Fall,Critical (25),Full body harness; scaffolding inspection; safety nets,Medium (8),Implement 100% tie-off policy; install permanent anchor points,Safety Officer,2026-04-15,In Progress
HIRA-007,Hot work near fuel storage,Fuel Storage Area,Fire/explosion from ignition of fuel vapors,Safety - Fire/Explosion,Critical (20),Hot work permit; fire watch; distance >15m; fire extinguishers,Medium (6),Install fixed fire suppression system near tank farm,Fire Safety Officer,2026-09-30,Open
HIRA-008,Electrical work on HT panels,Electrical Substation,Electrocution and arc flash,Safety - Electrical,Critical (25),LOTO procedure; insulated tools; arc flash PPE; permit to work,Medium (8),Install arc flash relays; update arc flash study,Chief Electrical Eng,2026-06-30,Open
HIRA-009,Refractory demolition,Inside Boiler,Silica dust exposure and falling debris,Health - Dust + Safety,High (16),RPE (P3 mask); safety helmet; scaffolding; wet methods,Medium (8),Use mechanical demolition tools to reduce manual exposure,Refractory Supervisor,2026-05-31,Open
HIRA-010,Forklift operation in warehouse,Warehouse,Collision with pedestrians or racking,Safety - Vehicle/Mechanical,Medium (12),Trained operators; speed limit 10 kmph; pedestrian walkways,Low (4),Install proximity sensors and audible alarms on forklifts,Warehouse Manager,2026-07-15,Open
HIRA-011,Noise exposure in turbine hall,TG Building,Hearing loss from continuous noise >85 dB(A),Health - Physical,High (15),Ear muffs/plugs mandatory; noise mapping done; rotation policy,Medium (6),Install acoustic enclosures on TG and BFW pumps,Maintenance Head,2026-12-31,Open
HIRA-012,Manual handling of heavy components,Workshop,Musculoskeletal injuries from lifting/pushing,Health - Ergonomic,Medium (12),Mechanical aids available; training on safe lifting; weight limits,Low (4),Procure additional chain hoists and pallet trucks,Workshop Supervisor,2026-06-30,Open
