telemetry_id,project_id,timestamp,boiler_efficiency_pct,steam_output_tph,fuel_consumption_kg_hr,nox_emission_mg_nm3,so2_emission_mg_nm3,uptime_pct,anomaly_detected
TEL-000001,PRJ-2026-0001,2026-04-20 18:00,90.52,11.23,1529.0,145.3,261.3,99.66,No
TEL-000002,PRJ-2026-0001,2026-04-19 12:00,85.42,9.77,1361.0,137.5,274.4,96.41,Yes
TEL-000003,PRJ-2026-0001,2026-04-18 22:00,85.52,10.82,1714.0,104.1,156.1,98.31,Yes
TEL-000004,PRJ-2026-0001,2026-04-17 21:00,89.38,11.16,1345.0,170.3,193.8,98.28,No
TEL-000005,PRJ-2026-0001,2026-04-16 22:00,88.23,12.19,1679.0,151.5,185.0,99.4,No
TEL-000006,PRJ-2026-0001,2026-04-15 09:00,87.09,9.61,1609.0,120.2,213.1,96.02,No
TEL-000007,PRJ-2026-0001,2026-04-14 07:00,88.18,11.57,1361.0,92.1,140.4,98.31,No
TEL-000008,PRJ-2026-0001,2026-04-13 11:00,84.93,12.09,1652.0,118.5,214.9,98.2,Yes
TEL-000009,PRJ-2026-0001,2026-04-12 07:00,89.15,8.99,1629.0,101.9,228.1,99.76,No
TEL-000010,PRJ-2026-0001,2026-04-11 01:00,85.21,9.45,1440.0,175.6,183.9,97.46,Yes
TEL-000011,PRJ-2026-0001,2026-04-10 19:00,88.89,11.65,1290.0,127.6,169.3,97.93,No
TEL-000012,PRJ-2026-0001,2026-04-09 06:00,91.13,9.13,1592.0,148.8,220.5,96.03,No
TEL-000013,PRJ-2026-0001,2026-04-08 10:00,89.91,10.4,1595.0,127.3,220.4,96.54,No
TEL-000014,PRJ-2026-0001,2026-04-07 05:00,87.3,12.49,1241.0,126.6,219.0,97.84,No
TEL-000015,PRJ-2026-0001,2026-04-06 07:00,84.03,11.41,1497.0,150.2,199.7,98.12,Yes
TEL-000016,PRJ-2026-0002,2026-04-20 03:00,88.94,9.53,1249.0,133.4,248.4,99.05,No
TEL-000017,PRJ-2026-0002,2026-04-19 15:00,84.9,9.81,1388.0,128.5,271.0,97.3,Yes
TEL-000018,PRJ-2026-0002,2026-04-18 12:00,89.86,10.17,1848.0,112.8,213.5,96.11,No
TEL-000019,PRJ-2026-0002,2026-04-17 15:00,86.53,8.33,1616.0,161.6,260.1,97.24,No
TEL-000020,PRJ-2026-0002,2026-04-16 19:00,84.95,11.94,1220.0,122.9,273.8,96.15,Yes
TEL-000021,PRJ-2026-0002,2026-04-15 12:00,86.32,7.81,1746.0,102.0,205.5,96.96,No
TEL-000022,PRJ-2026-0002,2026-04-14 08:00,84.83,8.61,1562.0,136.3,208.9,99.32,Yes
TEL-000023,PRJ-2026-0002,2026-04-13 23:00,86.64,11.57,1558.0,143.8,237.9,97.0,No
TEL-000024,PRJ-2026-0002,2026-04-12 01:00,91.96,9.58,1763.0,86.4,268.1,97.7,No
TEL-000025,PRJ-2026-0002,2026-04-11 13:00,91.32,8.56,1642.0,153.4,241.6,97.53,No
TEL-000026,PRJ-2026-0002,2026-04-10 06:00,91.11,9.28,1332.0,171.6,272.1,97.47,No
TEL-000027,PRJ-2026-0002,2026-04-09 21:00,88.46,8.46,1485.0,136.4,255.1,99.76,No
TEL-000028,PRJ-2026-0002,2026-04-08 11:00,87.59,11.31,1794.0,171.7,224.6,98.02,No
TEL-000029,PRJ-2026-0002,2026-04-07 19:00,87.32,7.67,1273.0,156.3,188.4,99.38,No
TEL-000030,PRJ-2026-0002,2026-04-06 21:00,84.38,8.86,1392.0,175.2,160.3,98.29,Yes
TEL-000031,PRJ-2026-0003,2026-04-20 23:00,87.15,9.21,1474.0,170.7,184.1,99.48,No
TEL-000032,PRJ-2026-0003,2026-04-19 19:00,86.41,8.21,1706.0,96.1,265.6,98.32,No
TEL-000033,PRJ-2026-0003,2026-04-18 11:00,90.98,12.16,1699.0,102.5,256.8,96.47,No
TEL-000034,PRJ-2026-0003,2026-04-18 00:00,86.65,10.68,1629.0,126.8,124.7,97.9,No
TEL-000035,PRJ-2026-0003,2026-04-16 09:00,91.21,8.94,1711.0,120.4,155.7,97.66,No
TEL-000036,PRJ-2026-0003,2026-04-15 19:00,84.77,11.62,1351.0,106.4,121.0,99.16,Yes
TEL-000037,PRJ-2026-0003,2026-04-14 20:00,86.3,8.59,1308.0,163.7,263.9,96.21,No
TEL-000038,PRJ-2026-0003,2026-04-13 01:00,85.99,8.14,1320.0,93.7,259.0,99.53,Yes
TEL-000039,PRJ-2026-0003,2026-04-12 09:00,85.89,11.39,1293.0,177.1,199.1,97.62,Yes
TEL-000040,PRJ-2026-0003,2026-04-11 16:00,88.29,8.73,1425.0,115.5,228.0,98.11,No
TEL-000041,PRJ-2026-0003,2026-04-10 19:00,85.45,10.84,1311.0,165.0,142.4,99.27,Yes
TEL-000042,PRJ-2026-0003,2026-04-09 21:00,87.25,9.14,1439.0,93.0,130.6,97.28,Yes
TEL-000043,PRJ-2026-0003,2026-04-08 23:00,88.23,9.32,1590.0,109.5,192.7,97.02,No
TEL-000044,PRJ-2026-0003,2026-04-07 17:00,90.12,9.28,1292.0,126.6,204.6,98.82,No
TEL-000045,PRJ-2026-0003,2026-04-06 01:00,86.37,11.72,1277.0,140.2,232.4,99.72,No
TEL-000046,PRJ-2026-0004,2026-04-20 10:00,85.6,8.95,1786.0,104.3,173.3,97.86,Yes
TEL-000047,PRJ-2026-0004,2026-04-19 07:00,84.24,8.48,1544.0,125.0,259.8,96.26,Yes
TEL-000048,PRJ-2026-0004,2026-04-18 18:00,85.92,10.72,1797.0,178.1,188.3,96.14,Yes
TEL-000049,PRJ-2026-0004,2026-04-17 09:00,88.05,11.56,1562.0,118.5,147.9,98.06,No
TEL-000050,PRJ-2026-0004,2026-04-16 18:00,84.08,11.64,1483.0,115.0,130.0,96.69,Yes
TEL-000051,PRJ-2026-0004,2026-04-15 10:00,89.53,11.66,1338.0,116.1,156.2,99.09,No
TEL-000052,PRJ-2026-0004,2026-04-14 08:00,84.4,10.06,1761.0,118.8,229.7,96.71,Yes
TEL-000053,PRJ-2026-0004,2026-04-13 16:00,90.95,11.18,1488.0,121.0,146.0,99.07,No
TEL-000054,PRJ-2026-0004,2026-04-12 06:00,91.46,8.62,1729.0,98.0,216.7,96.98,Yes
TEL-000055,PRJ-2026-0004,2026-04-11 12:00,89.03,12.36,1422.0,142.9,212.0,99.0,No
TEL-000056,PRJ-2026-0004,2026-04-10 02:00,84.3,7.74,1587.0,117.3,156.5,96.06,Yes
TEL-000057,PRJ-2026-0004,2026-04-09 17:00,90.66,9.2,1262.0,93.1,215.1,98.52,No
TEL-000058,PRJ-2026-0004,2026-04-08 15:00,91.24,8.97,1380.0,174.1,244.2,97.13,No
TEL-000059,PRJ-2026-0004,2026-04-07 03:00,88.92,9.35,1311.0,171.5,179.3,98.95,No
TEL-000060,PRJ-2026-0004,2026-04-06 09:00,86.63,9.24,1538.0,174.8,238.7,99.2,No
TEL-000061,PRJ-2026-0005,2026-04-20 23:00,85.43,7.86,1684.0,129.0,206.2,98.51,Yes
TEL-000062,PRJ-2026-0005,2026-04-19 03:00,90.77,11.6,1395.0,136.3,222.3,99.45,No
TEL-000063,PRJ-2026-0005,2026-04-18 10:00,91.19,12.13,1688.0,135.3,266.5,97.0,No
TEL-000064,PRJ-2026-0005,2026-04-17 14:00,90.49,11.47,1334.0,132.2,259.8,97.99,No
TEL-000065,PRJ-2026-0005,2026-04-16 12:00,91.86,8.41,1341.0,87.8,204.5,97.3,No
TEL-000066,PRJ-2026-0005,2026-04-15 11:00,90.79,7.91,1360.0,178.7,198.7,98.05,No
TEL-000067,PRJ-2026-0005,2026-04-14 16:00,91.56,7.56,1734.0,155.1,218.8,99.48,No
TEL-000068,PRJ-2026-0005,2026-04-13 01:00,88.58,11.67,1489.0,139.8,179.3,96.56,No
TEL-000069,PRJ-2026-0005,2026-04-12 11:00,91.4,8.61,1713.0,93.5,252.6,97.19,No
TEL-000070,PRJ-2026-0005,2026-04-11 08:00,88.31,11.11,1825.0,86.1,253.8,97.21,No
TEL-000071,PRJ-2026-0005,2026-04-10 20:00,89.39,11.22,1279.0,107.9,213.5,96.04,No
TEL-000072,PRJ-2026-0005,2026-04-09 07:00,85.01,10.37,1508.0,97.8,258.6,97.33,Yes
TEL-000073,PRJ-2026-0005,2026-04-08 17:00,89.79,7.8,1545.0,163.5,247.6,99.25,No
TEL-000074,PRJ-2026-0005,2026-04-07 02:00,84.98,8.92,1240.0,97.9,153.9,97.75,Yes
TEL-000075,PRJ-2026-0005,2026-04-06 12:00,84.56,9.22,1653.0,159.8,199.4,97.44,Yes
TEL-000076,PRJ-2026-0006,2026-04-20 12:00,85.12,9.7,1341.0,118.1,235.3,97.52,Yes
TEL-000077,PRJ-2026-0006,2026-04-19 17:00,85.67,8.71,1602.0,151.9,220.3,98.07,Yes
TEL-000078,PRJ-2026-0006,2026-04-18 11:00,84.72,10.66,1390.0,148.2,133.8,97.27,Yes
TEL-000079,PRJ-2026-0006,2026-04-17 12:00,90.56,9.94,1321.0,117.9,260.4,96.38,No
TEL-000080,PRJ-2026-0006,2026-04-16 15:00,85.97,12.28,1599.0,147.7,254.1,99.46,Yes
TEL-000081,PRJ-2026-0006,2026-04-15 09:00,87.89,11.78,1554.0,125.1,242.5,97.44,No
TEL-000082,PRJ-2026-0006,2026-04-15 00:00,86.74,8.39,1253.0,161.7,161.0,99.1,No
TEL-000083,PRJ-2026-0006,2026-04-13 03:00,87.3,8.02,1849.0,128.9,271.8,98.41,No
TEL-000084,PRJ-2026-0006,2026-04-12 18:00,86.68,10.67,1395.0,163.7,126.9,97.42,No
TEL-000085,PRJ-2026-0006,2026-04-11 21:00,84.3,10.85,1555.0,97.9,276.8,96.03,Yes
TEL-000086,PRJ-2026-0006,2026-04-10 20:00,87.89,8.17,1757.0,167.9,162.1,96.98,No
TEL-000087,PRJ-2026-0006,2026-04-09 16:00,87.63,10.4,1585.0,160.5,268.3,98.19,No
TEL-000088,PRJ-2026-0006,2026-04-08 06:00,90.38,9.51,1652.0,166.8,225.5,98.31,No
TEL-000089,PRJ-2026-0006,2026-04-07 02:00,91.36,8.37,1549.0,166.5,270.2,97.93,No
TEL-000090,PRJ-2026-0006,2026-04-06 16:00,90.97,9.25,1756.0,107.5,253.0,97.25,No
TEL-000091,PRJ-2026-0007,2026-04-20 01:00,91.14,9.95,1495.0,169.4,123.4,99.68,No
TEL-000092,PRJ-2026-0007,2026-04-19 07:00,91.68,11.44,1692.0,164.7,251.3,98.95,Yes
TEL-000093,PRJ-2026-0007,2026-04-18 23:00,85.62,12.24,1584.0,157.2,264.2,97.93,Yes
TEL-000094,PRJ-2026-0007,2026-04-17 18:00,88.39,11.24,1825.0,106.1,157.4,97.54,No
TEL-000095,PRJ-2026-0007,2026-04-16 09:00,87.6,7.97,1666.0,142.5,219.6,96.43,No
TEL-000096,PRJ-2026-0007,2026-04-15 13:00,85.54,11.63,1768.0,177.1,149.8,96.49,Yes
TEL-000097,PRJ-2026-0007,2026-04-14 20:00,86.79,12.35,1800.0,91.4,255.6,99.28,No
TEL-000098,PRJ-2026-0007,2026-04-13 17:00,91.16,11.12,1431.0,128.9,121.2,98.88,No
TEL-000099,PRJ-2026-0007,2026-04-12 22:00,84.16,11.04,1522.0,141.2,232.7,96.38,Yes
