Department,Designation,Grade,Current_Headcount,Sanctioned_Headcount,Vacancies,Hiring_Pipeline,Expected_Join_Date,Avg_CTC_Lakhs,Total_Dept_Cost_Cr,Attrition_Risk,Remarks
Engineering - Boiler Design,Senior Design Engineer,E4,12,15,3,2 shortlisted,2026-05-15,18.5,2.78,Low,IBR experience mandatory - limited talent pool
Engineering - Boiler Design,Design Engineer,E3,8,10,2,1 offered - joining pending,2026-06-01,12.0,1.20,Medium,HTRI/COMPRESS software skills needed
Project Management,Project Manager,E5,6,8,2,Interviews in progress,2026-06-15,24.0,1.92,High,2 PMs resigned in Q4 - workload pressure
Project Management,Assistant Project Manager,E4,10,12,2,1 internal promotion pipeline,2026-05-01,16.5,1.98,Medium,Site experience requirement filter candidates
Site Operations,Site Engineer,E3,25,30,5,3 campus offers accepted,2026-07-01,10.5,3.15,High,High attrition due to remote site postings
Site Operations,Site Supervisor,E2,18,20,2,Walk-in drive planned May 2026,2026-06-01,7.5,1.50,Medium,ITI/Diploma with boiler experience preferred
Commissioning,Commissioning Engineer,E4,8,10,2,1 lateral hire in progress,2026-05-20,20.0,2.00,Low,Specialized role - limited external availability
Quality Assurance,QA/QC Inspector,E3,6,8,2,2 referrals under evaluation,2026-06-01,11.0,0.88,Low,IBR/ASME certification required
Procurement,Senior Buyer,E4,4,5,1,Position posted on job portals,2026-07-01,15.0,0.75,Low,Technical procurement experience needed
EHS,Safety Officer,E3,5,6,1,NEBOSH-certified candidate identified,2026-05-15,12.5,0.75,Low,Factory Act license holder mandatory
R&D,Research Engineer,E4,3,5,2,Campus recruitment Q3,2026-09-01,16.0,0.80,Low,PhD/MTech in thermal engineering preferred
Sales & Marketing,Regional Sales Manager,E5,8,10,2,1 internal transfer approved,2026-05-01,22.0,2.20,Medium,Industry relationship experience critical
